Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
204800,0.070803,0.560119,0.056842,0.025777,1.23,0.10,0.92,144;
204800,0.070938,0.554420,0.057963,0.025626,1.22,0.10,0.92,144;
204800,0.069024,0.552948,0.057348,0.025362,1.20,0.11,0.91,144;
204800,0.069833,0.559864,0.056097,0.025346,1.25,0.08,0.91,145;
204800,0.069276,0.560952,0.056904,0.025265,1.24,0.09,0.91,145;
204800,0.068713,0.564940,0.058176,0.025632,1.22,0.12,0.92,146;
204800,0.047097,0.774679,0.047723,0.019488,1.59,0.12,1.11,153;
204800,0.047176,0.552732,0.046684,0.020037,1.18,0.08,0.90,141;
204800,0.047479,0.780324,0.051099,0.020008,1.61,0.12,1.12,153;
204800,0.068414,0.560932,0.058813,0.025242,1.22,0.12,0.95,141;
204800,0.047381,0.782172,0.054261,0.019971,1.57,0.16,3.53,49;
204800,0.047347,0.775737,0.047505,0.019655,1.60,0.12,1.11,154;
204800,0.047170,0.775550,0.048113,0.018904,1.56,0.16,1.12,153;
204800,0.046684,0.778324,0.048179,0.019286,1.60,0.12,1.12,153;
204800,0.046411,0.776195,0.047719,0.019141,1.59,0.12,1.11,154;
204800,0.068562,0.552454,0.057158,0.025295,1.21,0.10,0.91,143;
204800,0.069454,0.565038,0.059673,0.025691,1.22,0.12,0.92,145;
204800,0.068099,0.557491,0.057349,0.025776,1.22,0.10,0.92,144;
204800,0.069377,0.549920,0.056700,0.025045,1.20,0.11,0.91,144;
204800,0.047241,0.775978,0.048376,0.019576,1.56,0.15,1.10,155;
204800,0.068017,0.557503,0.057146,0.025168,1.20,0.12,0.92,143;
204800,0.070075,0.566199,0.059807,0.025471,1.22,0.12,0.92,145;
204800,0.069662,0.561572,0.057241,0.025718,1.21,0.12,0.91,146;
204800,0.068635,0.553219,0.056104,0.025530,1.19,0.12,0.91,144;
204800,0.068826,0.553306,0.056060,0.025080,1.20,0.11,0.90,145;
