Nvert,init,tarjan,split,merge,user,elapsed,system,pCPU
150000,0.119117,1.844280,0.056460,0.000158,3.20,0.84,2.65,152;
150000,0.185218,1.703421,0.069304,0.000142,2.94,0.93,2.55,151;
150000,0.188754,1.901832,0.066115,0.000146,3.22,1.07,2.76,155;
150000,0.186177,1.699766,0.064937,0.000141,2.83,1.04,2.55,152;
150000,0.121762,1.851683,0.053550,0.000143,3.14,0.92,4.40,92;
150000,0.188217,1.799760,0.068376,0.000141,3.14,0.94,2.65,153;
150000,0.183048,1.906004,0.070724,0.000141,3.26,1.03,2.76,155;
150000,0.122157,1.849709,0.057356,0.000141,3.18,0.86,2.65,152;
150000,0.122209,1.846745,0.058594,0.000142,3.14,0.91,2.65,152;
150000,0.194009,1.689835,0.068800,0.000141,2.84,1.03,2.55,151;
150000,0.122468,1.859203,0.057619,0.000171,3.22,0.84,2.65,153;
150000,0.190028,1.872771,0.071754,0.000176,3.26,0.99,4.50,94;
150000,0.184118,1.905667,0.068921,0.000141,3.18,1.11,2.76,155;
150000,0.189387,1.695380,0.069823,0.000143,2.87,1.00,2.55,151;
150000,0.186637,1.696344,0.069242,0.000140,2.86,1.01,2.55,151;
150000,0.120757,1.846039,0.057833,0.000141,3.24,0.81,2.65,152;
150000,0.122241,1.843518,0.057326,0.000139,3.10,0.94,2.65,152;
150000,0.122202,1.844715,0.058392,0.000141,3.12,0.94,5.32,76;
150000,0.124094,1.844687,0.057483,0.000155,3.18,0.86,2.65,152;
150000,0.122664,1.747752,0.058220,0.000143,3.04,0.80,2.55,150;
150000,0.192383,1.688066,0.069161,0.000143,2.92,0.95,2.55,151;
150000,0.122938,1.832049,0.058255,0.000154,3.05,0.96,2.55,157;
150000,0.189896,2.003212,0.069262,0.000145,3.44,1.06,2.82,159;
150000,0.194797,1.690608,0.069401,0.000146,3.01,0.87,2.58,150;
150000,0.188765,1.724290,0.070353,0.000145,2.98,0.96,4.09,96;
