verteces,verteces_after,init,destroy,tarjan,preprocess_time,user,system,elapsed,pCPU
819200,401408,0.034342,0.002032,0.107175,404.342582,404.45,0.03,404.49,99;
819200,401408,0.034141,0.002011,0.109997,405.564770,405.68,0.03,405.72,99;
819200,401408,0.034230,0.002018,0.108808,404.280912,404.37,0.05,404.43,99;
819200,401408,0.034299,0.002045,0.107795,404.433097,404.53,0.04,404.59,99;
819200,401408,0.033333,0.002065,0.110651,399.315382,399.44,0.02,399.53,99;
819200,401408,0.033296,0.002076,0.111375,397.265246,397.36,0.04,397.49,99;
819200,401408,0.033898,0.002029,0.107605,407.231168,407.33,0.03,407.38,99;
819200,401408,0.034234,0.002014,0.107304,407.352348,407.46,0.03,407.50,99;
819200,401408,0.033885,0.002053,0.111133,405.458260,405.48,0.11,405.62,99;
819200,401408,0.035934,0.002016,0.107560,403.344000,403.43,0.05,403.50,99;
819200,401408,0.033173,0.001953,0.107878,398.935747,399.05,0.03,399.09,99;
819200,401408,0.034024,0.002010,0.108810,404.416987,404.54,0.02,404.57,99;
819200,401408,0.033889,0.002012,0.107001,407.557983,407.66,0.04,407.71,99;
819200,401408,0.033936,0.002006,0.109886,406.055083,406.16,0.03,406.21,99;
819200,401408,0.034051,0.002026,0.108916,404.342661,404.44,0.04,404.49,99;
819200,401408,0.033978,0.002033,0.108569,404.069740,404.19,0.02,404.22,99;
819200,401408,0.034168,0.002033,0.107045,404.445988,404.56,0.02,404.60,99;
819200,401408,0.034065,0.002015,0.108788,406.647214,406.76,0.03,406.80,99;
819200,401408,0.034070,0.002001,0.108726,404.444154,404.54,0.04,404.60,99;
819200,401408,0.033280,0.002125,0.109177,400.408133,400.51,0.04,400.64,99;
819200,401408,0.034082,0.002079,0.108281,404.407755,404.51,0.03,404.56,99;
819200,401408,0.034163,0.002028,0.109693,405.289895,405.37,0.05,405.44,99;
819200,401408,0.034016,0.002303,0.113953,406.720654,406.84,0.02,406.88,99;
819200,401408,0.034439,0.002022,0.112207,404.432768,404.54,0.03,404.59,99;
819200,401408,0.034162,0.002009,0.108400,405.737285,405.84,0.04,405.89,99;
