vertices,init,destroy,tarjan,user,system,elapsed,pCPU
12500,9.293142,0.000178,2.867362,11.35,0.84,12.20,99;
12500,9.624700,0.000189,2.993872,11.84,0.82,12.66,99;
12500,9.638830,0.000181,2.965370,11.83,0.81,12.65,99;
12500,9.150677,0.000150,2.844691,11.29,0.74,12.04,99;
12500,9.225429,0.000269,2.849384,11.31,0.80,12.12,99;
12500,9.153362,0.000223,2.854183,11.25,0.79,12.05,99;
12500,9.280925,0.000165,2.915544,11.51,0.72,12.25,99;
12500,9.203484,0.000176,2.861194,11.29,0.81,12.11,99;
12500,9.320131,0.000159,2.914052,11.42,0.85,12.28,99;
12500,9.333639,0.000162,2.891731,11.46,0.80,12.27,99;
12500,9.295058,0.000183,2.922416,11.42,0.83,12.26,99;
12500,9.221094,0.000163,2.791857,11.31,0.73,12.05,99;
12500,9.201045,0.000178,2.802285,11.26,0.78,12.04,100;
12500,9.305065,0.000158,2.946704,11.44,0.85,12.30,99;
12500,9.243360,0.000162,2.845207,11.33,0.80,12.13,99;
12500,9.194281,0.000169,2.886118,11.35,0.77,12.12,99;
12500,9.474677,0.000200,3.010704,11.74,0.78,12.53,99;
12500,9.670514,0.000160,3.072068,11.96,0.82,12.79,99;
12500,9.348945,0.000179,2.887536,11.45,0.82,12.28,99;
12500,9.261702,0.000177,2.823716,11.39,0.73,12.13,99;
12500,9.241388,0.000152,2.870175,11.38,0.77,12.15,99;
12500,9.335415,0.000167,2.977504,11.55,0.79,12.36,99;
12500,9.413562,0.000156,2.933889,11.61,0.77,12.39,99;
12500,9.297724,0.000188,3.003177,11.57,0.77,12.35,99;
12500,9.438460,0.000167,2.877762,11.56,0.79,12.36,99;
12500,9.167557,0.000153,2.851879,11.30,0.75,12.06,99;
12500,9.306367,0.000162,2.900888,11.44,0.80,12.26,99;
12500,9.333704,0.000162,2.908188,11.44,0.84,12.29,99;
12500,9.391649,0.000153,2.857531,11.45,0.84,12.29,99;
12500,9.168300,0.000172,2.839800,11.34,0.70,12.05,99;
12500,9.283331,0.000207,2.911013,11.44,0.79,12.24,99;
12500,9.211116,0.000155,2.855483,11.35,0.75,12.11,99;
12500,9.256818,0.000155,2.807815,11.33,0.77,12.11,99;
12500,9.372847,0.000184,2.999239,11.61,0.79,12.42,99;
12500,9.670988,0.000224,3.048892,11.93,0.82,12.76,99;
12500,9.332717,0.000229,2.948763,11.49,0.83,12.33,99;
12500,9.307996,0.000162,2.917169,11.44,0.82,12.27,99;
12500,9.178420,0.000192,2.846251,11.36,0.70,12.07,99;
12500,9.181153,0.000225,2.849367,11.32,0.75,12.07,99;
12500,9.305177,0.000202,2.894392,11.47,0.76,12.25,99;
12500,9.180672,0.000216,2.854709,11.32,0.75,12.08,99;
12500,9.359901,0.000232,2.894175,11.49,0.80,12.30,99;
12500,9.222496,0.000210,2.848816,11.28,0.83,12.11,99;
12500,9.243642,0.000192,2.801066,11.37,0.71,12.09,99;
12500,9.322188,0.000240,3.001139,11.54,0.82,12.37,99;
12500,9.328450,0.000165,2.993008,11.61,0.75,12.37,99;
12500,9.246710,0.000146,2.866446,11.36,0.79,12.16,99;
12500,9.256901,0.000168,2.858732,11.38,0.77,12.16,99;
12500,9.301759,0.000240,2.911268,11.39,0.86,12.26,99;
12500,9.373252,0.000155,2.880733,11.53,0.76,12.30,99;
12500,9.237768,0.000170,2.795660,11.30,0.77,12.08,99;
12500,9.240397,0.000212,2.800220,11.37,0.71,12.08,99;
12500,9.248446,0.000156,2.815106,11.34,0.76,12.10,99;
12500,9.250519,0.000156,2.919038,11.44,0.76,12.21,99;
12500,9.503368,0.000183,3.046252,11.74,0.84,12.59,99;
12500,9.692780,0.000195,3.070500,12.04,0.76,12.81,99;
12500,9.620047,0.000205,3.047889,11.95,0.75,12.71,99;
12500,9.356186,0.000174,2.937329,11.62,0.71,12.34,99;
12500,9.257729,0.000184,2.806554,11.33,0.77,12.11,99;
12500,9.310881,0.000183,2.974672,11.49,0.83,12.33,99;
12500,9.314794,0.000204,2.985309,11.60,0.74,12.35,99;
12500,9.340256,0.000182,2.942941,11.51,0.81,12.33,99;
12500,9.184074,0.000180,2.803699,11.30,0.73,12.03,99;
12500,9.193963,0.000156,2.865465,11.23,0.87,12.10,99;
12500,9.629106,0.000194,3.069593,11.92,0.82,12.74,99;
12500,9.242582,0.000158,2.870270,11.29,0.85,12.15,99;
12500,9.433012,0.000189,2.923845,11.53,0.87,12.40,99;
12500,9.192533,0.000155,2.856509,11.27,0.82,12.09,99;
12500,9.266336,0.000185,2.854063,11.39,0.77,12.16,99;
12500,9.640076,0.000218,3.031899,11.87,0.83,12.72,99;
12500,9.649504,0.000205,3.024564,11.84,0.88,12.72,99;
