verteces,init,finalize,preprocess,conversion,tarjan,user,system,elapsed,pCPU
12500,2.330413,0.015777,0.002085,9.781443,3.088590,14.24,1.04,15.30,99;
12500,2.329121,0.015974,0.002098,9.555384,2.845619,13.74,1.07,14.83,99;
12500,2.335961,0.016058,0.002092,9.587831,2.853384,13.86,1.00,14.87,99;
12500,2.339041,0.015694,0.002095,9.753436,3.088219,14.18,1.08,15.28,99;
12500,2.336807,0.015378,0.002104,9.320532,2.857326,13.64,0.96,14.61,99;
12500,2.391248,0.016194,0.002089,10.422994,3.136869,15.10,0.93,16.05,99;
12500,2.333676,0.015448,0.002073,9.234381,2.850224,13.48,1.02,14.52,99;
12500,2.380238,0.016296,0.002106,10.223735,3.133755,14.75,1.06,15.85,99;
12500,2.332351,0.016064,0.002092,9.605500,3.073508,14.12,0.97,15.11,99;
12500,2.328457,0.015996,0.002101,9.573026,3.021674,13.86,1.14,15.02,99;
12500,2.347610,0.016490,0.002096,10.060942,3.105371,14.58,1.02,15.65,99;
12500,2.324459,0.016030,0.002106,9.330071,2.792282,13.45,1.08,14.55,99;
12500,2.334243,0.015814,0.002083,9.171372,2.796520,13.54,0.84,14.40,99;
12500,2.331601,0.015952,0.002096,10.107207,3.126309,14.50,1.14,15.67,99;
12500,2.361610,0.016312,0.002092,10.148491,3.132657,14.66,1.06,15.75,99;
12500,2.322936,0.015464,0.002108,9.137532,2.842478,13.47,0.92,14.40,99;
12500,2.372893,0.016552,0.002082,10.376262,3.137396,14.84,1.12,16.00,99;
12500,2.382312,0.015906,0.002099,10.202953,3.127542,14.66,1.13,15.81,99;
12500,2.326428,0.016032,0.002092,9.507923,2.815100,13.70,1.03,14.75,99;
12500,2.329372,0.015971,0.002090,9.421075,2.828050,13.66,1.00,14.68,99;
12500,2.332702,0.015533,0.002096,9.349989,2.851055,13.63,0.98,14.63,99;
12500,2.383164,0.016674,0.002094,10.265546,3.142217,14.69,1.18,15.89,99;
12500,2.331918,0.016264,0.002088,9.617367,3.076066,14.08,1.03,15.12,99;
12500,2.331577,0.016201,0.002097,9.171599,2.855136,13.47,0.96,14.46,99;
12500,2.331382,0.015865,0.002102,9.594155,3.089604,14.04,1.05,15.11,99;
