Nvert,init,tarjan,split,merge,user,elapsed,system,pCPU
150000,0.121807,1.842740,0.058252,0.000145,3.19,0.85,2.65,152;
150000,0.124124,1.840816,0.061799,0.000142,3.07,0.96,2.65,152;
150000,0.123551,1.585791,0.057905,0.000125,2.67,0.84,3.88,90;
150000,0.187838,1.723232,0.069202,0.000140,2.98,0.94,2.66,147;
150000,0.195804,1.686637,0.070483,0.000145,2.95,0.93,2.55,151;
150000,0.121993,1.745413,0.056811,0.000145,3.01,0.83,2.55,150;
150000,0.122419,1.740449,0.057886,0.000141,3.05,0.79,2.55,150;
150000,0.188983,1.904200,0.069013,0.000140,3.15,1.14,2.76,155;
150000,0.121390,1.843163,0.056717,0.000155,3.15,0.88,2.65,152;
150000,0.122922,1.759976,0.061195,0.000154,3.08,0.78,4.29,90;
150000,0.188403,1.692712,0.068943,0.000149,2.81,1.05,2.55,151;
150000,0.185404,1.699213,0.068640,0.000147,2.94,0.93,2.55,151;
150000,0.122072,1.842932,0.057633,0.000157,3.18,0.85,2.66,151;
150000,0.122067,1.841614,0.057024,0.000143,3.16,0.88,2.65,152;
150000,0.189653,1.899819,0.069704,0.000143,3.20,1.08,2.76,155;
150000,0.193164,1.894858,0.069891,0.000146,3.18,1.10,2.76,155;
150000,0.187390,1.732828,0.068706,0.000145,2.94,1.00,4.09,96;
150000,0.187750,1.697838,0.068788,0.000144,2.96,0.91,2.55,151;
150000,0.122024,1.847840,0.056857,0.000143,3.11,0.93,2.65,152;
150000,0.122856,1.946893,0.059753,0.000140,3.31,0.93,2.76,154;
150000,0.122281,1.841422,0.056959,0.000142,3.09,0.94,2.65,151;
150000,0.119779,1.849931,0.056413,0.000141,3.16,0.89,2.65,152;
150000,0.120770,1.848483,0.057503,0.000158,3.11,0.92,2.65,152;
150000,0.191730,2.136485,0.069358,0.000146,3.49,1.28,4.50,106;
150000,0.121538,52.284426,0.058027,0.000141,74.49,45.41,68.09,176;
