Nvert,init,tarjan,split,merge,user,elapsed,system,pCPU
204800,0.069208,0.600321,0.058736,0.029393,1.56,0.63,1.42,153;
204800,0.046499,0.626223,0.044902,0.021763,1.57,0.61,1.43,153;
204800,0.069716,0.660068,0.059291,0.029560,1.68,0.69,1.42,166;
204800,0.048485,0.632458,0.045734,0.021678,1.56,0.65,1.43,155;
204800,0.069521,0.643014,0.058319,0.029344,1.66,0.66,1.43,162;
204800,0.047747,0.560054,0.045944,0.021940,1.45,0.54,1.32,151;
204800,0.047034,0.631007,0.045065,0.021487,1.61,0.60,1.43,154;
204800,0.046857,0.630269,0.045439,0.021749,1.54,0.67,3.17,70;
204800,0.047683,0.569358,0.046068,0.022269,1.44,0.59,1.32,154;
204800,0.047249,0.729981,0.045252,0.021500,1.80,0.70,1.53,163;
204800,0.047503,0.625199,0.044859,0.021580,1.61,0.58,1.32,165;
204800,0.048089,0.648582,0.043802,0.021364,1.49,0.77,1.42,159;
204800,0.047570,0.565182,0.044737,0.021439,1.40,0.61,1.32,151;
204800,0.069405,0.579727,0.058909,0.030099,1.50,0.62,1.43,148;
204800,0.047514,0.629241,0.045351,0.021276,1.61,0.60,1.42,155;
204800,0.068508,0.635388,0.058348,0.029418,1.57,0.72,1.42,161;
204800,0.047069,0.623650,0.045146,0.021424,1.56,0.62,1.43,152;
204800,0.050336,0.570222,0.047555,0.022993,1.49,0.53,1.27,159;
204800,0.070419,0.580053,0.058015,0.029178,1.47,0.66,1.38,154;
204800,0.050435,0.569957,0.046919,0.022836,1.43,0.61,3.06,66;
204800,0.049919,0.556096,0.048196,0.022986,1.37,0.64,1.32,152;
204800,0.070399,0.642802,0.060123,0.029382,1.76,0.62,1.42,167;
204800,0.068980,0.584081,0.058428,0.029770,1.53,0.60,1.43,149;
204800,0.069971,0.600309,0.058989,0.029551,1.65,0.53,1.43,153;
204800,0.047427,0.618099,0.045264,0.021455,1.55,0.62,1.42,152;
