Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
250000,0.153796,2.445303,0.109114,0.000242,6.11,1.93,5.12,157;
250000,0.225302,2.450934,0.140155,0.000282,6.44,1.87,3.50,237;
250000,0.153179,2.793119,0.109162,0.000236,7.17,2.26,3.85,244;
250000,0.232987,2.307376,0.140612,0.000281,6.05,2.17,3.54,232;
250000,0.156414,2.970976,0.112244,0.000244,7.59,2.40,4.02,248;
250000,0.163891,2.813339,0.110457,0.000251,7.12,2.42,7.78,122;
250000,0.154383,2.955397,0.107004,0.000240,7.50,2.46,4.09,243;
250000,0.228972,2.290988,0.140189,0.000278,5.81,2.01,3.27,239;
250000,0.154623,2.451305,0.113705,0.000246,6.45,1.99,3.68,229;
250000,0.153844,2.459263,0.142511,0.000284,6.28,1.78,5.74,140;
250000,0.162174,2.529069,0.115083,0.000250,6.42,2.24,5.10,169;
250000,0.224661,2.307178,0.142324,0.000278,6.00,1.87,3.27,240;
250000,0.155747,2.383125,0.110471,0.000234,6.17,1.79,3.51,226;
250000,0.229777,2.356992,0.141845,0.000285,6.27,1.76,3.45,232;
250000,0.163166,2.345020,0.109978,0.000237,5.96,1.89,4.90,160;
250000,0.154381,2.971235,0.114435,0.000241,7.52,2.46,5.52,180;
250000,0.153073,2.962667,0.114226,0.000246,7.53,2.43,3.99,249;
250000,0.153783,2.390454,0.112186,0.000242,6.27,1.79,3.37,238;
250000,0.226059,2.392881,0.139301,0.000277,6.07,2.06,3.47,234;
250000,0.154478,2.490142,0.110827,0.000233,6.53,1.78,6.96,119;
250000,0.159575,2.703656,0.114382,0.000243,7.07,2.13,3.93,233;
250000,0.155465,2.500263,0.140557,0.000279,6.58,2.00,3.68,233;
250000,0.226125,2.291497,0.140674,0.000277,5.92,1.90,3.22,242;
250000,0.229579,2.300512,0.140399,0.000278,5.96,1.90,3.27,240;
250000,0.154692,2.450609,0.114494,0.000244,6.28,1.77,6.34,127;
