Nvert,init,tarjan,split,merge,user,elapsed,system,pCPU
250000,0.230098,3.653398,0.148075,0.000277,5.92,1.97,6.33,124;
250000,0.155867,4.129301,0.115256,0.000236,6.78,1.91,5.03,172;
250000,0.153451,4.049097,0.115934,0.000239,6.45,2.07,5.14,165;
250000,0.155356,3.237200,0.116132,0.000237,5.30,1.58,6.77,101;
250000,0.227650,3.573002,0.146611,0.000276,5.83,1.89,4.72,163;
250000,0.230214,3.363162,0.148525,0.000285,5.53,1.77,36.68,19;
250000,0.231080,3.612329,0.146662,0.000280,5.85,1.96,6.26,124;
250000,0.227879,3.570767,0.148091,0.000278,5.84,1.86,4.62,166;
250000,0.228776,3.466409,0.148271,0.000279,5.74,1.76,4.62,162;
250000,0.227157,3.564242,0.147880,0.000279,5.78,1.92,4.52,170;
250000,0.155636,3.953429,0.113804,0.000234,6.34,2.00,6.36,131;
250000,0.158634,3.928819,0.117805,0.000244,6.55,1.74,4.83,171;
250000,0.159261,3.925405,0.115829,0.000241,6.27,2.00,4.93,167;
250000,0.235709,3.455695,0.148145,0.000274,5.65,1.84,4.42,169;
250000,0.155875,4.065132,0.119201,0.000244,6.45,2.10,6.47,132;
250000,0.237908,3.153138,0.146193,0.000278,5.33,1.56,4.31,159;
250000,0.155860,4.765703,0.116348,0.000247,7.52,2.44,5.85,170;
250000,0.158578,4.050708,0.117981,0.000240,6.54,1.99,4.93,173;
250000,0.230701,3.363314,0.147737,0.000282,5.54,1.77,6.06,120;
250000,0.155252,4.160839,0.115556,0.000239,6.66,2.09,5.24,167;
250000,0.228359,3.568745,0.149427,0.000280,5.72,1.98,4.62,166;
250000,0.230487,3.679197,0.147628,0.000280,6.04,1.89,6.77,117;
250000,0.155847,4.056037,0.116741,0.000236,6.56,1.97,5.06,168;
250000,0.232657,3.367354,0.147167,0.000283,5.59,1.72,4.29,170;
250000,0.228699,3.195730,0.148145,0.000277,5.33,1.63,6.36,109;
