Nvert,init,tarjan,split,merge,user,elapsed,system,pCPU
51200,0.011906,0.135469,0.009780,0.005042,0.31,0.04,0.43,84;
51200,0.017024,0.096537,0.008714,0.006442,0.24,0.05,0.40,74;
51200,0.011917,0.133252,0.008495,0.004885,0.32,0.03,0.42,84;
51200,0.017128,0.095846,0.009121,0.006426,0.25,0.04,0.40,74;
51200,0.017268,0.098382,0.009203,0.006487,0.24,0.05,0.39,75;
51200,0.017344,0.097141,0.009123,0.006347,0.25,0.04,0.40,74;
51200,0.017035,0.097064,0.009156,0.006584,0.23,0.06,0.40,74;
51200,0.011809,0.132328,0.007799,0.004745,0.32,0.03,0.42,84;
51200,0.017057,0.097471,0.009011,0.006509,0.23,0.06,0.40,72;
51200,0.016896,0.096242,0.008906,0.006586,0.25,0.04,0.40,73;
51200,0.016863,0.096696,0.008946,0.006541,0.26,0.03,0.39,74;
51200,0.011804,0.134377,0.008653,0.004928,0.31,0.04,0.43,83;
51200,0.011752,0.132203,0.008009,0.004858,0.31,0.04,0.42,84;
51200,0.017421,0.097858,0.009186,0.006541,0.26,0.04,0.40,74;
51200,0.017066,0.097197,0.008905,0.006627,0.24,0.05,0.40,73;
51200,0.017012,0.096624,0.008844,0.006556,0.25,0.04,0.40,75;
51200,0.017293,0.097635,0.009155,0.006457,0.25,0.04,0.39,75;
51200,0.012852,0.133356,0.008019,0.004830,0.31,0.04,0.42,85;
51200,0.012185,0.133089,0.008029,0.004781,0.32,0.03,0.42,84;
51200,0.011584,0.132072,0.008087,0.004787,0.29,0.05,0.43,82;
51200,0.011777,0.135718,0.009438,0.004977,0.29,0.06,0.42,84;
51200,0.017121,0.096129,0.009006,0.006507,0.25,0.04,0.39,74;
51200,0.016744,0.096576,0.009092,0.006479,0.22,0.06,0.40,73;
51200,0.017038,0.098197,0.008992,0.006581,0.24,0.05,0.39,76;
51200,0.016978,0.097451,0.008861,0.006533,0.26,0.03,0.39,75;
