Nvert,init,tarjan,split,merge,user,elapsed,system,pCPU
51200,0.011537,0.150879,0.006857,0.004999,0.44,0.20,0.80,81;
51200,0.017334,0.156137,0.009034,0.007501,0.50,0.17,0.82,82;
51200,0.017396,0.153996,0.009139,0.007569,0.47,0.21,0.83,82;
51200,0.013060,0.151323,0.008662,0.007320,0.46,0.19,0.79,83;
51200,0.012102,0.149737,0.007624,0.005208,0.45,0.19,0.81,79;
51200,0.011663,0.178269,0.007106,0.005038,0.51,0.24,3.29,22;
51200,0.017350,0.153156,0.009033,0.007403,0.44,0.24,0.80,85;
51200,0.012340,0.151102,0.007762,0.005305,0.41,0.24,0.81,81;
51200,0.019199,0.173636,0.007756,0.007373,0.51,0.25,0.75,100;
51200,0.016808,0.150680,0.008856,0.007657,0.43,0.23,0.77,86;
51200,0.017273,0.152641,0.009101,0.007545,0.43,0.24,0.82,83;
51200,0.013108,0.184904,0.007530,0.005556,0.53,0.28,0.89,90;
51200,0.012079,0.160693,0.008298,0.005290,0.48,0.24,0.84,85;
51200,0.017540,0.152320,0.008670,0.007536,0.44,0.22,0.80,84;
51200,0.011729,0.165618,0.008345,0.005223,0.47,0.22,0.82,84;
51200,0.011694,0.164284,0.007640,0.005108,0.49,0.20,0.74,92;
51200,0.016994,0.154337,0.008963,0.007453,0.45,0.23,0.77,88;
51200,0.017290,0.184106,0.009284,0.007382,0.53,0.22,0.84,90;
51200,0.011901,0.167241,0.007612,0.005330,0.46,0.23,0.89,77;
51200,0.017711,0.154592,0.008879,0.007178,0.49,0.20,0.81,85;
51200,0.012108,0.155076,0.007461,0.005308,0.46,0.20,0.80,83;
51200,0.012306,0.154182,0.008704,0.007468,0.46,0.21,0.72,93;
51200,0.012386,0.154947,0.008556,0.007563,0.41,0.26,0.80,83;
51200,0.017669,0.175326,0.010124,0.008281,0.56,0.19,0.87,85;
51200,0.011890,0.151498,0.007519,0.005307,0.46,0.21,3.00,22;
