Nvert,NvertAfterCuda,init,mpi_tarjan,split,merge,total_only_mpi,preprocess,conversion,finalize,user,system,elapsed,pCPU
819200,401408,0.129202,1.741753,0.133006,0.112199,1.747946,26.282460,0.214463,0.005946,46.64,10.24,30.91,184;
819200,401408,0.132529,2.207110,0.141397,0.111929,2.213344,26.232539,0.211524,0.005887,47.12,10.62,31.41,183;
819200,401408,0.076887,2.370514,0.108353,0.089853,2.376040,26.187295,0.183441,0.004498,47.54,10.25,31.74,182;
819200,401408,0.069564,1.828060,0.105846,0.092027,1.833622,26.297799,0.183456,0.004829,46.49,10.41,30.42,187;
819200,401408,0.076123,1.940959,0.105571,0.085660,1.946614,26.204249,0.184404,0.004932,46.78,10.16,31.94,178;
819200,401408,0.077507,2.154250,0.109076,0.098608,2.159736,26.207263,0.185633,0.004540,47.21,10.19,31.12,184;
819200,401408,0.076859,1.922153,0.107430,0.091904,1.927633,26.254031,0.183627,0.004675,47.08,9.92,30.92,184;
819200,401408,0.073265,2.285015,0.108460,0.095791,2.290359,26.190549,0.188256,0.004291,47.35,10.26,31.12,185;
819200,401408,0.067072,2.332385,0.108703,0.089990,2.337947,26.227821,0.185319,0.004533,47.32,10.45,31.33,184;
819200,401408,0.084024,2.528010,0.109788,0.085810,2.533569,26.239084,0.187823,0.004283,47.28,10.93,31.42,185;
819200,401408,0.081504,2.210154,0.107841,0.091280,2.215759,26.201991,0.183900,0.004353,47.15,10.36,31.44,182;
819200,401408,0.071263,2.452671,0.105205,0.083317,2.458135,26.140486,0.187738,0.004326,47.49,10.36,31.39,184;
819200,401408,0.121359,1.935873,0.133606,0.110427,1.942256,26.137847,0.212959,0.005928,46.76,10.22,31.31,181;
819200,401408,0.133117,1.989684,0.135403,0.108083,1.996020,26.251614,0.209926,0.006094,46.58,10.74,30.92,185;
819200,401408,0.075286,2.220946,0.107192,0.089288,2.226605,26.260173,0.181703,0.004211,47.17,10.45,31.27,184;
819200,401408,0.091395,2.457642,0.102733,0.084017,2.463087,26.184039,0.186071,0.004486,47.69,10.28,31.32,185;
819200,401408,0.077293,2.285155,0.110283,0.090487,2.290263,26.249953,0.186203,0.004248,47.38,10.36,31.33,184;
819200,401408,0.080204,2.381401,0.106203,0.083104,2.386970,26.264523,0.182982,0.004505,47.59,10.38,31.33,185;
819200,401408,0.135687,2.448705,0.135520,0.109549,2.454879,26.240516,0.219508,0.006014,47.79,10.47,31.75,183;
819200,401408,0.073901,1.955204,0.106935,0.091703,1.960758,26.261603,0.189725,0.004771,46.39,10.70,30.74,185;
819200,401408,0.122605,2.428242,0.131460,0.106631,2.434431,26.245843,0.209589,0.006154,47.75,10.42,31.90,182;
819200,401408,0.078553,2.226769,0.108153,0.090477,2.232379,26.242241,0.190964,0.004539,47.28,10.33,31.37,183;
819200,401408,0.121031,2.034901,0.136078,0.107737,2.041390,26.293095,0.216233,0.005954,47.09,10.39,30.98,185;
819200,401408,0.079396,2.439047,0.104505,0.084182,2.444571,26.071158,0.185328,0.004406,47.13,10.55,31.66,182;
819200,401408,0.129537,1.834909,0.133494,0.109308,1.841319,26.290452,0.215714,0.005914,46.81,10.25,30.96,184;
