Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
204800,0.069103,0.550781,0.056559,0.025208,1.20,0.11,0.91,143;
204800,0.046993,0.775429,0.048255,0.019627,1.59,0.12,1.11,154;
204800,0.068452,0.555380,0.056366,0.025597,1.20,0.12,0.92,143;
204800,0.068112,0.556829,0.057607,0.025496,1.19,0.13,0.91,145;
204800,0.047054,0.777406,0.047885,0.019442,1.60,0.12,1.12,154;
204800,0.046441,0.774764,0.046699,0.019012,1.60,0.10,1.12,153;
204800,0.069508,0.557246,0.058700,0.025446,1.23,0.10,3.15,42;
204800,0.068671,0.559703,0.058221,0.025787,1.21,0.11,1.02,129;
204800,0.070166,0.555809,0.057051,0.026034,1.24,0.08,0.92,144;
204800,0.069201,0.557826,0.057136,0.025366,1.20,0.12,0.91,145;
204800,0.047798,0.774709,0.048913,0.019669,1.63,0.09,1.11,153;
204800,0.046878,0.771653,0.047510,0.019527,1.61,0.10,1.12,153;
204800,0.069324,0.555801,0.057550,0.025172,1.23,0.09,0.92,143;
204800,0.047156,0.775221,0.048769,0.019605,1.56,0.15,1.12,154;
204800,0.047338,0.773878,0.051159,0.019570,1.57,0.14,1.12,153;
204800,0.068239,0.556250,0.056177,0.025493,1.21,0.10,0.91,144;
204800,0.047173,0.773076,0.048247,0.019462,1.62,0.09,1.11,154;
204800,0.047179,0.781078,0.048615,0.019515,1.62,0.10,1.12,154;
204800,0.046959,0.775586,0.048390,0.019515,1.60,0.12,1.11,154;
204800,0.047240,0.782712,0.052116,0.020465,1.62,0.11,1.12,154;
204800,0.069138,0.555657,0.057403,0.025395,1.20,0.13,0.92,143;
204800,0.046299,0.773390,0.048558,0.019393,1.61,0.11,3.54,48;
204800,0.047902,0.774024,0.046999,0.019453,1.60,0.12,1.11,154;
204800,0.068512,0.551339,0.058016,0.025049,1.19,0.12,0.91,143;
204800,0.047113,0.780590,0.048430,0.019495,1.61,0.12,1.11,155;
