verteces,init,finalize,preprocess,conversion,tarjan,user,system,elapsed,pCPU
236518,0.067018,0.000413,9.660625,0.149755,0.122231,9.94,0.07,10.03,99;
236518,0.064664,0.000496,9.691367,0.162788,0.156283,9.98,0.11,10.11,99;
236518,0.087862,0.000393,9.602197,0.146893,0.123501,9.87,0.09,10.02,99;
236518,0.063433,0.000393,9.627974,0.149926,0.121756,9.90,0.07,9.99,99;
236518,0.061236,0.000403,9.646205,0.151051,0.122271,9.93,0.06,10.01,99;
236518,0.060512,0.000392,9.651467,0.154275,0.121588,9.93,0.07,10.03,99;
236518,0.061188,0.000417,9.762167,0.152042,0.123047,10.04,0.06,10.13,99;
236518,0.061526,0.000477,9.611986,0.156711,0.148361,9.91,0.08,10.05,99;
236518,0.085612,0.000496,9.630549,0.155932,0.123858,9.93,0.08,10.03,99;
236518,0.062816,0.000488,9.664255,0.151626,0.121670,9.93,0.08,10.03,99;
236518,0.063568,0.000517,9.641626,0.149760,0.124166,9.90,0.08,10.04,99;
236518,0.063218,0.000472,9.619581,0.165523,0.122836,9.90,0.08,10.00,99;
236518,0.062051,0.000458,9.621306,0.149279,0.121271,9.89,0.07,9.98,99;
236518,0.062167,0.000504,9.635296,0.170569,0.163460,9.96,0.08,10.07,99;
236518,0.091425,0.000376,9.639374,0.150422,0.123738,9.93,0.08,10.04,99;
236518,0.062622,0.000487,9.613527,0.151837,0.123298,9.88,0.08,9.98,99;
236518,0.062263,0.000484,9.671141,0.151520,0.120331,9.92,0.09,10.03,99;
236518,0.061573,0.000431,9.654841,0.150824,0.122430,9.94,0.06,10.02,99;
236518,0.059589,0.000418,9.652641,0.152078,0.122874,9.90,0.09,10.02,99;
236518,0.062194,0.000531,9.620107,0.162950,0.156333,9.92,0.10,10.04,99;
236518,0.087779,0.000370,9.631714,0.151042,0.124688,9.93,0.08,10.03,99;
236518,0.064913,0.000456,9.622035,0.150853,0.121892,9.90,0.07,9.99,99;
236518,0.062206,0.000411,9.619622,0.151736,0.121625,9.88,0.08,9.99,99;
236518,0.064069,0.000410,9.653397,0.149504,0.122215,9.93,0.07,10.02,99;
236518,0.062100,0.000467,9.616101,0.153937,0.122782,9.91,0.06,9.99,99;
