Nvert,init,tarjan,split,merge,user,elapsed,system,pCPU
12500,10.417641,24.338685,0.915599,13.044738,75.61,29.19,37.48,279;
12500,10.442624,24.462300,0.916182,13.125808,75.70,29.52,37.47,280;
12500,10.470564,25.028825,0.904357,12.774854,76.89,30.42,38.49,278;
12500,10.648942,24.112786,0.908652,12.540381,75.65,29.46,37.48,280;
12500,10.629857,24.039397,0.908099,12.825996,76.03,28.92,37.88,277;
12500,10.949811,25.810127,0.958162,13.811674,79.19,31.89,39.53,281;
12500,10.440784,47.470482,1.049232,34.453610,128.87,45.82,60.81,287;
12500,10.444982,24.569731,0.903474,12.738893,73.73,32.46,37.87,280;
12500,20.657018,45.872244,1.334269,33.784132,154.02,46.93,69.40,289;
12500,10.652162,24.655977,0.901987,12.963404,75.97,30.77,38.49,277;
12500,21.939209,47.192672,1.319832,34.948398,149.58,58.77,71.86,289;
12500,21.235654,46.535445,1.246162,33.763278,154.47,49.83,71.05,287;
12500,10.646539,25.465407,0.946665,12.581000,78.79,30.33,38.90,280;
12500,10.533196,23.937311,0.909109,12.723231,76.78,27.09,36.65,283;
12500,21.894518,48.290155,1.377468,35.573041,159.64,52.21,73.10,289;
12500,10.098873,23.988197,0.870306,12.444919,74.23,28.34,36.66,279;
12500,10.738786,24.537055,0.917822,13.146309,76.29,29.99,37.87,280;
12500,10.287343,23.706224,0.906810,12.291102,73.44,29.02,36.85,278;
12500,21.906287,46.145575,1.327234,34.540558,151.96,52.73,70.44,290;
12500,10.665775,25.163208,0.905112,12.950294,77.28,31.00,38.73,279;
12500,22.134668,47.447254,1.360529,34.903794,155.01,54.58,72.25,290;
12500,10.428127,24.898259,0.904902,12.865594,76.45,30.48,38.29,279;
12500,10.473902,24.609245,0.912340,12.667639,75.26,30.75,37.68,281;
12500,21.561715,45.667846,1.349073,33.670986,149.61,52.90,68.20,296;
12500,10.035892,25.779915,0.866385,12.575391,77.22,31.42,39.93,272;
