verteces,init,finalize,preprocess,conversion,tarjan,user,system,elapsed,pCPU
118498,0.042556,0.000338,2.271484,0.044361,0.041996,2.36,0.04,2.44,98;
118498,0.040268,0.000245,2.259544,0.046996,0.045275,2.35,0.04,2.44,98;
118498,0.043119,0.000263,2.253667,0.047149,0.044429,2.35,0.04,2.43,98;
118498,0.044095,0.000258,2.270124,0.042546,0.040979,2.35,0.05,2.43,99;
118498,0.042127,0.000236,2.262869,0.044897,0.043706,2.35,0.04,2.43,98;
118498,0.045564,0.000278,2.267898,0.047100,0.043726,2.36,0.05,2.43,99;
118498,0.044845,0.000256,2.259763,0.047375,0.043870,2.35,0.05,2.43,98;
118498,0.042108,0.000257,2.253461,0.047132,0.043891,2.35,0.04,2.42,98;
118498,0.051198,0.000301,2.259633,0.043209,0.042181,2.32,0.07,2.43,99;
118498,0.042608,0.000241,2.260851,0.043283,0.041201,2.35,0.05,2.42,99;
118498,0.049198,0.000243,2.265048,0.045027,0.042540,2.36,0.04,2.43,99;
118498,0.046747,0.000255,2.257928,0.046468,0.043747,2.35,0.05,2.44,98;
118498,0.043632,0.000241,2.261772,0.041889,0.041098,2.35,0.04,2.42,99;
118498,0.047237,0.000252,2.257882,0.047810,0.044108,2.35,0.05,2.44,98;
118498,0.043525,0.000256,2.261494,0.047354,0.043673,2.37,0.03,2.43,99;
118498,0.046601,0.000291,2.253479,0.042348,0.040971,2.34,0.05,2.41,99;
118498,0.044450,0.000259,2.262674,0.046734,0.043912,2.34,0.06,2.44,98;
118498,0.044251,0.000228,2.253879,0.046173,0.044577,2.35,0.05,2.42,99;
118498,0.045290,0.000249,2.232666,0.046766,0.043818,2.32,0.05,2.41,98;
118498,0.041716,0.000236,2.245602,0.049127,0.044543,2.34,0.05,2.42,98;
118498,0.043537,0.000236,2.255862,0.042571,0.041369,2.34,0.05,2.41,99;
118498,0.044492,0.000237,2.869636,0.043849,0.042046,2.96,0.04,3.03,99;
118498,0.045158,0.000260,2.780994,0.046921,0.044321,2.88,0.04,2.95,99;
118498,0.047354,0.000230,2.559872,0.043047,0.042313,2.66,0.04,2.72,99;
118498,0.044353,0.000247,2.335426,0.042620,0.041402,2.42,0.05,2.50,99;
