Nvert,init,tarjan,split,merge,user,elapsed,system,pCPU
819200,0.277326,2.646818,0.296561,0.115155,6.75,2.65,3.87,242;
819200,0.191698,2.476711,0.228338,0.085772,5.94,2.44,3.47,241;
819200,0.191188,2.482154,0.230108,0.086654,6.13,2.27,3.47,241;
819200,0.192062,2.733167,0.232424,0.087879,6.66,2.50,3.88,235;
819200,0.192934,2.702425,0.298112,0.114240,6.57,2.52,5.93,153;
819200,0.191707,2.728946,0.227618,0.086749,6.67,2.41,3.68,246;
819200,0.279606,2.675172,0.302892,0.115441,6.62,2.66,3.91,237;
819200,0.200199,2.641123,0.297750,0.114717,6.43,2.48,3.65,243;
819200,0.273648,3.553400,0.305118,0.114483,8.62,3.53,4.91,247;
819200,0.192039,2.743467,0.226281,0.085699,6.58,2.57,5.52,165;
819200,0.192456,2.499097,0.230914,0.087208,6.10,2.35,3.47,243;
819200,0.278800,3.171117,0.295996,0.113808,7.77,3.19,4.50,243;
819200,0.192474,3.702276,0.230646,0.087837,58.48,28.82,34.81,250;
819200,0.190450,2.585406,0.231397,0.085928,6.35,2.39,5.31,164;
819200,0.188712,2.940812,0.230282,0.085736,6.88,2.90,68.60,14;
819200,0.277249,3.149635,0.298866,0.113935,7.91,3.00,7.36,148;
819200,0.189611,2.485665,0.230953,0.087376,5.95,2.45,3.47,241;
819200,0.187237,2.720617,0.224326,0.084803,6.45,2.64,3.68,246;
819200,0.275469,3.040393,0.293844,0.114555,7.53,3.06,4.29,246;
819200,0.186334,2.686216,0.234212,0.089811,6.37,2.52,7.57,117;
