Nvert,init,tarjan,split,merge,user,elapsed,system,pCPU
819200,0.188427,3.564313,0.226049,0.082342,5.55,2.10,4.72,162;
819200,0.190952,3.557005,0.228842,0.081982,5.64,2.00,4.50,169;
819200,0.190512,3.971568,0.227528,0.082370,6.10,2.36,8.59,98;
819200,0.191451,3.569525,0.227785,0.082461,10.60,4.50,12.07,125;
819200,0.274162,3.614508,0.290189,0.109234,5.86,2.07,4.70,168;
819200,0.271549,3.342035,0.287283,0.108903,5.41,1.97,5.93,124;
819200,0.278625,3.140564,0.293751,0.107584,5.07,1.91,4.09,170;
819200,0.276295,3.324015,0.287248,0.106014,5.28,2.06,4.29,170;
819200,0.188662,3.500593,0.227244,0.083179,5.50,2.00,4.39,170;
819200,0.272661,3.530511,0.281369,0.106792,5.58,2.16,4.63,167;
819200,0.189871,3.758644,0.231197,0.083007,5.75,2.31,6.31,127;
819200,0.275995,3.325901,0.289937,0.107336,5.28,2.06,4.29,171;
819200,0.273075,3.322809,0.292166,0.107183,5.38,1.94,4.29,170;
819200,0.190861,3.552039,0.226257,0.082634,5.49,2.13,4.50,169;
819200,0.189811,3.653702,0.221487,0.081157,5.88,1.95,4.70,166;
819200,0.192499,3.205541,0.227283,0.083978,4.95,1.98,5.73,121;
819200,0.274331,3.226860,0.290776,0.108421,4.99,2.16,4.37,163;
819200,0.212701,3.558898,0.228086,0.081452,5.51,2.16,4.62,166;
819200,0.279475,3.326331,0.295399,0.107595,5.33,2.02,4.29,171;
819200,0.189583,3.527387,0.228523,0.082619,5.52,2.05,4.29,176;
819200,0.188501,3.873572,0.228742,0.081741,5.92,2.36,6.34,130;
819200,0.274611,3.645046,0.290779,0.108639,5.67,2.29,4.78,166;
819200,0.188874,3.644974,0.226785,0.081921,5.81,1.99,4.62,168;
819200,0.274208,3.260334,0.292015,0.107959,5.30,1.92,4.29,168;
819200,0.187474,3.674358,0.229379,0.081864,5.72,2.14,7.38,106;
