Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
819200,0.275042,2.945601,0.287169,0.102952,6.14,0.41,3.54,184;
819200,0.191691,2.917696,0.223053,0.079953,5.93,0.40,6.34,99;
819200,0.278667,4.286494,0.315700,0.103694,8.74,0.52,4.91,188;
819200,0.190100,4.231857,0.241530,0.078648,8.46,0.49,4.75,188;
819200,0.188674,4.249520,0.241443,0.077922,8.56,0.41,4.76,188;
819200,0.190721,4.214639,0.239688,0.078205,8.41,0.49,4.76,186;
819200,0.189530,4.224490,0.242308,0.077921,8.44,0.49,6.57,136;
819200,0.274448,2.970022,0.281777,0.104829,6.26,0.34,3.56,185;
819200,0.194933,3.102188,0.233616,0.084702,6.20,0.49,3.79,176;
819200,0.189196,4.226580,0.236570,0.077568,8.44,0.50,4.74,188;
819200,0.272551,2.947871,0.290472,0.104157,6.11,0.45,6.68,98;
819200,0.190009,4.224990,0.240426,0.077333,8.48,0.47,4.75,188;
819200,0.277558,4.295802,0.316839,0.116634,8.81,0.48,4.93,188;
819200,0.274415,4.288641,0.311986,0.103992,8.77,0.48,4.90,188;
819200,0.279753,2.993849,0.289657,0.103890,6.24,0.42,7.50,88;
819200,0.272226,2.974480,0.292705,0.104662,6.17,0.43,3.56,185;
819200,0.276543,2.938736,0.281994,0.104531,6.12,0.41,3.55,184;
819200,0.189123,4.201420,0.240918,0.078032,8.38,0.51,4.72,188;
819200,0.274828,3.075266,0.302263,0.105252,6.39,0.41,3.71,183;
819200,0.189327,4.231372,0.238992,0.078664,8.51,0.45,6.57,136;
819200,0.188497,4.236162,0.236759,0.078130,8.54,0.41,4.75,188;
819200,0.188871,4.195089,0.240597,0.077816,8.40,0.48,4.71,188;
819200,0.271778,2.992428,0.289651,0.104159,6.29,0.36,3.59,185;
819200,0.188013,4.244069,0.246244,0.077893,8.49,0.50,9.00,99;
819200,0.274658,2.974850,0.300753,0.102256,6.09,0.51,3.58,184;
