verteces,init,finalize,preprocess,conversion,tarjan,user,system,elapsed,pCPU
200704,0.049592,0.001284,2.326967,0.054236,0.052115,2.43,0.06,2.52,99;
200704,0.050945,0.001526,2.332890,0.054519,0.051003,2.45,0.04,2.54,98;
200704,0.047853,0.007826,2.320861,0.058937,0.055411,2.44,0.05,2.52,99;
200704,0.053845,0.001404,2.329447,0.059385,0.055175,2.45,0.06,2.55,98;
200704,0.049423,0.001419,2.324450,0.061204,0.057493,2.45,0.05,2.52,99;
200704,0.049323,0.001347,2.321949,0.054161,0.051970,2.44,0.05,2.52,98;
200704,0.050715,0.001182,2.332213,0.054165,0.051559,2.45,0.05,2.52,99;
200704,0.051015,0.001431,2.335928,0.061012,0.057321,2.44,0.07,2.55,98;
200704,0.053261,0.001355,2.331892,0.060848,0.057747,2.45,0.06,2.53,99;
200704,0.050652,0.001344,2.327662,0.054412,0.051685,2.43,0.06,2.53,98;
200704,0.048138,0.001403,2.327910,0.061039,0.057166,2.44,0.06,2.53,99;
200704,0.049358,0.001359,2.331385,0.054147,0.051087,2.43,0.06,2.54,98;
200704,0.047903,0.001396,2.319619,0.061677,0.059836,2.45,0.05,2.53,98;
200704,0.056890,0.001397,2.328960,0.053957,0.051212,2.44,0.06,2.54,98;
200704,0.048635,0.001333,2.332696,0.061273,0.057560,2.46,0.04,2.53,99;
200704,0.050931,0.001260,2.329048,0.054038,0.051003,2.44,0.05,2.53,98;
200704,0.048707,0.001290,2.329191,0.054067,0.051164,2.44,0.05,2.51,99;
200704,0.049967,0.001454,2.326742,0.054439,0.051679,2.43,0.06,2.53,98;
200704,0.048130,0.001300,2.327710,0.060598,0.056776,2.44,0.06,2.53,99;
200704,0.051064,0.001253,2.334193,0.053953,0.051386,2.45,0.05,2.54,98;
200704,0.051950,0.001226,2.329511,0.054360,0.051984,2.45,0.05,2.53,99;
200704,0.052906,0.001264,2.330207,0.054388,0.050986,2.44,0.06,2.53,98;
200704,0.055126,0.001263,2.323037,0.053852,0.051794,2.43,0.07,2.52,99;
200704,0.050794,0.001471,2.321063,0.060828,0.058023,2.44,0.06,2.54,98;
200704,0.048273,0.001318,2.324083,0.060978,0.058025,2.45,0.05,2.53,98;
