vertices,init,destroy,tarjan,user,system,elapsed,pCPU
51200,0.010968,0.000183,0.010174,0.02,0.00,0.02,95;
51200,0.010406,0.000189,0.009866,0.01,0.00,0.02,95;
51200,0.010594,0.000225,0.010268,0.01,0.00,0.02,100;
51200,0.010513,0.000206,0.010229,0.01,0.00,0.02,95;
51200,0.010299,0.000190,0.009993,0.02,0.00,0.02,100;
51200,0.010543,0.000284,0.010166,0.01,0.00,0.02,100;
51200,0.010610,0.000281,0.010035,0.02,0.00,0.02,100;
51200,0.010490,0.000214,0.010022,0.02,0.00,0.02,100;
51200,0.010414,0.000199,0.009881,0.01,0.01,0.02,95;
51200,0.010543,0.000330,0.010051,0.01,0.00,0.02,95;
51200,0.010507,0.000181,0.009943,0.01,0.00,0.02,100;
51200,0.010629,0.000274,0.009990,0.02,0.00,0.02,100;
51200,0.010712,0.000185,0.010020,0.01,0.00,0.02,100;
51200,0.010480,0.000268,0.010242,0.01,0.00,0.02,100;
51200,0.010756,0.000182,0.010239,0.02,0.00,0.02,100;
51200,0.010610,0.000178,0.010138,0.01,0.00,0.02,100;
51200,0.010534,0.000187,0.009895,0.02,0.00,0.02,100;
51200,0.010618,0.000192,0.010128,0.01,0.00,0.02,100;
51200,0.010552,0.000194,0.010131,0.02,0.00,0.02,100;
51200,0.010428,0.000227,0.009955,0.01,0.00,0.02,95;
51200,0.010497,0.000299,0.010074,0.01,0.00,0.02,100;
51200,0.010586,0.000287,0.010033,0.02,0.00,0.02,100;
51200,0.010520,0.000221,0.010161,0.01,0.00,0.02,100;
51200,0.010501,0.000227,0.010018,0.01,0.00,0.02,95;
51200,0.010522,0.000187,0.010133,0.01,0.00,0.02,95;
51200,0.010792,0.000200,0.009999,0.01,0.00,0.02,100;
51200,0.010708,0.000324,0.010352,0.01,0.00,0.02,95;
51200,0.010851,0.000256,0.009863,0.02,0.00,0.02,100;
51200,0.010587,0.000182,0.010025,0.01,0.00,0.02,100;
51200,0.010657,0.000239,0.009943,0.02,0.00,0.02,100;
51200,0.010639,0.000190,0.010099,0.01,0.00,0.02,95;
51200,0.010421,0.000289,0.009782,0.02,0.00,0.02,100;
51200,0.010503,0.000192,0.009983,0.02,0.00,0.02,100;
51200,0.010409,0.000178,0.009970,0.01,0.00,0.02,95;
51200,0.010695,0.000199,0.009977,0.02,0.00,0.02,100;
51200,0.010584,0.000268,0.009988,0.01,0.00,0.02,100;
51200,0.010666,0.000183,0.010001,0.01,0.00,0.02,95;
51200,0.010586,0.000271,0.010194,0.01,0.00,0.02,100;
51200,0.010966,0.000240,0.009906,0.01,0.00,0.02,95;
51200,0.010355,0.000185,0.010026,0.01,0.00,0.02,95;
51200,0.010517,0.000277,0.009914,0.02,0.00,0.02,100;
51200,0.010563,0.000216,0.010148,0.01,0.01,0.02,95;
51200,0.010500,0.000185,0.010078,0.01,0.00,0.02,95;
51200,0.010492,0.000323,0.010192,0.01,0.00,0.02,100;
51200,0.010490,0.000265,0.009953,0.01,0.00,0.02,100;
51200,0.010483,0.000199,0.009939,0.01,0.00,0.02,95;
51200,0.010529,0.000261,0.009961,0.02,0.00,0.02,100;
51200,0.010665,0.000183,0.010209,0.01,0.00,0.02,100;
51200,0.010467,0.000182,0.010353,0.02,0.00,0.02,100;
51200,0.010337,0.000274,0.009910,0.01,0.00,0.02,95;
51200,0.010335,0.000261,0.009782,0.02,0.00,0.02,100;
51200,0.010598,0.000258,0.009985,0.02,0.00,0.02,100;
51200,0.010375,0.000183,0.010004,0.02,0.00,0.02,100;
51200,0.010565,0.000190,0.010041,0.01,0.00,0.02,95;
51200,0.010343,0.000211,0.009927,0.01,0.00,0.02,100;
51200,0.010301,0.000178,0.010024,0.02,0.00,0.02,100;
51200,0.010657,0.000216,0.010182,0.02,0.00,0.02,100;
51200,0.010667,0.000301,0.010015,0.01,0.00,0.02,100;
