Nvert,NvertAfterCuda,init,mpi_tarjan,split,merge,total_only_mpi,preprocess,conversion,finalize,user,system,elapsed,pCPU
250000,118498,0.044863,0.753451,0.051622,0.000276,0.753556,3.191119,0.041996,0.000281,6.60,1.61,36.71,22;
250000,118498,0.094785,0.609045,0.059175,0.000240,0.609171,3.168843,0.061042,0.000313,6.36,1.63,6.31,126;
250000,118498,0.049899,0.712091,0.049039,0.000212,0.712211,3.101844,0.042119,0.000210,6.49,1.46,4.67,170;
250000,118498,0.086348,0.772993,0.057896,0.000237,0.773125,3.166335,0.059913,0.000310,6.62,1.68,5.06,164;
250000,118498,0.048669,0.666414,0.049709,0.000219,0.666525,3.119332,0.043832,0.000276,6.32,1.58,6.64,118;
250000,118498,0.097124,0.789998,0.058111,0.000239,0.790124,3.165599,0.061952,0.000349,6.66,1.68,4.81,173;
250000,118498,0.101981,0.638253,0.058573,0.000283,0.638369,3.153114,0.061828,0.000295,6.43,1.61,4.95,162;
250000,118498,0.048040,0.830121,0.049835,0.000217,0.830237,3.185673,0.043867,0.000308,6.63,1.73,6.67,125;
250000,118498,0.087671,0.768513,0.059146,0.000235,0.768644,3.159725,0.063607,0.000325,6.52,1.76,4.83,171;
250000,118498,0.087327,1.174896,0.058215,0.000240,1.175024,3.154848,0.061167,0.000297,7.04,2.06,5.37,169;
250000,Command exited with non-zero status 143
0.00,0.00,132.64,0;
250000,118498,0.049060,0.984133,0.052320,0.000214,0.984241,3.147667,0.041344,0.000294,6.80,1.77,6.93,123;
250000,118498,0.081312,0.689931,0.059025,0.000284,0.690059,3.140347,0.062124,0.000323,6.45,1.64,4.67,173;
250000,118498,0.053811,0.828046,0.048615,0.000238,0.828191,3.136710,0.042031,0.000242,6.62,1.64,4.99,165;
250000,118498,0.087536,0.588886,0.057814,0.000234,0.589019,3.168360,0.062816,0.000390,6.46,1.50,7.39,107;
250000,118498,0.079734,0.709860,0.058769,0.000231,0.709990,3.141129,0.059761,0.000301,6.46,1.64,4.68,173;
250000,118498,0.048956,0.851930,0.049703,0.000209,0.852050,3.163134,0.042341,0.000256,6.69,1.64,4.98,167;
250000,118498,0.052621,0.942368,0.049149,0.000238,0.942486,3.152302,0.043115,0.000285,6.81,1.70,7.59,112;
250000,118498,0.086487,0.772844,0.059573,0.000254,0.772976,3.155949,0.062024,0.000323,6.52,1.75,4.85,170;
250000,118498,0.049457,0.838636,0.049485,0.000214,0.838747,3.153944,0.042520,0.000251,6.51,1.79,5.01,165;
250000,118498,0.088213,0.861008,0.061362,0.000233,0.861142,3.170587,0.062474,0.000315,6.75,1.74,4.93,172;
250000,118498,0.087025,1.300723,0.060093,0.000276,1.300855,3.162991,0.062338,0.000423,7.17,2.19,6.88,136;
250000,118498,0.043982,0.846395,0.049174,0.000213,0.846606,3.159037,0.043389,0.000248,6.71,1.59,5.03,165;
250000,118498,0.093943,0.657480,0.059367,0.000241,0.657607,3.163851,0.062872,0.000287,6.45,1.63,4.77,169;
250000,118498,0.086855,0.868205,0.058669,0.000273,0.868329,3.180644,0.060496,0.000412,6.68,1.85,8.47,100;
