vertices,init,destroy,tarjan,user,system,elapsed,pCPU
1000000,0.074945,0.000639,0.131104,0.16,0.04,0.20,100;
1000000,0.075923,0.000632,0.131761,0.17,0.03,0.21,100;
1000000,0.074057,0.000689,0.134126,0.18,0.02,0.21,99;
1000000,0.074955,0.000633,0.133169,0.17,0.03,0.21,99;
1000000,0.074590,0.000678,0.129497,0.17,0.03,0.20,100;
1000000,0.074654,0.000666,0.131778,0.17,0.03,0.20,100;
1000000,0.074608,0.000640,0.131356,0.17,0.03,0.20,100;
1000000,0.075197,0.000673,0.132581,0.16,0.04,0.21,99;
1000000,0.075630,0.000640,0.133167,0.18,0.02,0.21,99;
1000000,0.074907,0.000697,0.134207,0.17,0.03,0.21,99;
1000000,0.076092,0.000802,0.132326,0.18,0.02,0.21,99;
1000000,0.074383,0.000631,0.133064,0.16,0.04,0.21,99;
1000000,0.075822,0.000673,0.137380,0.18,0.03,0.21,99;
1000000,0.075096,0.000661,0.134789,0.18,0.03,0.21,99;
1000000,0.074288,0.000642,0.131614,0.18,0.02,0.20,100;
1000000,0.073690,0.000693,0.133367,0.18,0.02,0.20,100;
1000000,0.075118,0.000648,0.134203,0.16,0.05,0.21,100;
1000000,0.075436,0.000670,0.131275,0.18,0.02,0.20,100;
1000000,0.075510,0.000642,0.132499,0.16,0.04,0.21,99;
1000000,0.075943,0.000669,0.137027,0.17,0.03,0.21,99;
1000000,0.074469,0.000632,0.131388,0.17,0.03,0.20,100;
1000000,0.075463,0.000696,0.134423,0.17,0.03,0.21,99;
1000000,0.074008,0.000626,0.131995,0.18,0.02,0.20,100;
1000000,0.074225,0.000636,0.130050,0.17,0.02,0.20,100;
1000000,0.075252,0.000663,0.132790,0.17,0.03,0.21,99;
1000000,0.075839,0.000639,0.132711,0.16,0.04,0.21,99;
1000000,0.075457,0.000673,0.136693,0.19,0.02,0.21,99;
1000000,0.074327,0.000657,0.131617,0.18,0.02,0.20,100;
1000000,0.075331,0.000687,0.136474,0.17,0.03,0.21,99;
1000000,0.074045,0.000642,0.131955,0.17,0.03,0.20,100;
1000000,0.074945,0.000648,0.133024,0.19,0.01,0.21,100;
1000000,0.074998,0.000645,0.139611,0.18,0.03,0.21,99;
1000000,0.073669,0.000671,0.129512,0.16,0.03,0.20,100;
1000000,0.075231,0.000638,0.132209,0.17,0.03,0.21,99;
1000000,0.075503,0.000713,0.132354,0.17,0.03,0.21,99;
1000000,0.074669,0.000687,0.134398,0.17,0.03,0.21,99;
1000000,0.075356,0.000636,0.133069,0.17,0.03,0.21,99;
1000000,0.074828,0.000652,0.134163,0.19,0.01,0.21,99;
1000000,0.074885,0.000641,0.131455,0.16,0.03,0.20,99;
1000000,0.073750,0.000629,0.131682,0.18,0.02,0.20,100;
1000000,0.075160,0.000651,0.134113,0.18,0.02,0.21,100;
1000000,0.075163,0.000673,0.134122,0.18,0.02,0.21,99;
1000000,0.075612,0.000685,0.134053,0.16,0.04,0.21,100;
1000000,0.075469,0.000687,0.135945,0.18,0.02,0.21,99;
1000000,0.074017,0.000649,0.133181,0.16,0.04,0.21,99;
1000000,0.076320,0.000734,0.136915,0.17,0.04,0.21,100;
1000000,0.075651,0.000692,0.133882,0.17,0.03,0.21,100;
1000000,0.075811,0.000645,0.135436,0.19,0.01,0.21,99;
1000000,0.075693,0.000688,0.136612,0.17,0.03,0.21,99;
1000000,0.075284,0.000645,0.135042,0.18,0.02,0.21,100;
1000000,0.075765,0.000681,0.141313,0.17,0.04,0.22,99;
1000000,0.076821,0.000677,0.137138,0.18,0.03,0.21,100;
1000000,0.073791,0.000624,0.129736,0.15,0.05,0.20,99;
1000000,0.073919,0.000664,0.133665,0.18,0.02,0.21,100;
1000000,0.075463,0.000685,0.133040,0.18,0.02,0.21,99;
1000000,0.076372,0.000660,0.138702,0.17,0.04,0.21,99;
1000000,0.074931,0.000705,0.134203,0.18,0.02,0.21,99;
1000000,0.073996,0.000647,0.131294,0.16,0.04,0.20,99;
1000000,0.074793,0.000714,0.137301,0.19,0.01,0.21,99;
1000000,0.076464,0.000652,0.136831,0.19,0.02,0.21,99;
1000000,0.075430,0.000698,0.134885,0.17,0.03,0.21,99;
1000000,0.074529,0.000653,0.134022,0.18,0.02,0.21,99;
1000000,0.075438,0.000654,0.134874,0.18,0.02,0.21,99;
1000000,0.074908,0.000653,0.132828,0.17,0.03,0.21,100;
1000000,0.074488,0.000639,0.132588,0.17,0.03,0.20,100;
1000000,0.076831,0.000673,0.137759,0.18,0.02,0.21,99;
1000000,0.074886,0.000646,0.133462,0.18,0.02,0.21,99;
1000000,0.074893,0.000659,0.135737,0.18,0.03,0.21,99;
1000000,0.074415,0.000640,0.131152,0.18,0.02,0.20,100;
1000000,0.075586,0.000663,0.134332,0.18,0.02,0.21,99;
1000000,0.075397,0.000681,0.132516,0.17,0.04,0.21,100;
1000000,0.074622,0.000670,0.131680,0.18,0.02,0.20,99;
1000000,0.075739,0.000690,0.135476,0.19,0.02,0.21,99;
1000000,0.073771,0.000642,0.130356,0.15,0.04,0.20,100;
1000000,0.074142,0.000686,0.133975,0.19,0.01,0.21,99;
1000000,0.074486,0.000666,0.131599,0.16,0.04,0.20,99;
1000000,0.074330,0.000693,0.135275,0.17,0.03,0.21,100;
1000000,0.075443,0.000669,0.136919,0.18,0.03,0.21,99;
