Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
12500,10.483426,23.808844,0.905777,12.532702,74.50,28.83,37.09,278;
12500,10.688208,24.676758,0.943430,12.547508,76.18,30.62,37.87,282;
12500,10.659977,24.247846,0.905087,12.894801,76.05,29.05,37.45,280;
12500,11.023229,24.865594,0.928524,13.479675,77.98,30.19,38.70,279;
12500,22.124931,46.597650,1.340092,34.448528,153.59,53.12,71.26,290;
12500,10.434471,24.375950,0.908576,13.049625,75.37,29.61,37.47,280;
12500,10.527154,23.724442,0.904912,12.468266,74.17,29.07,36.68,281;
12500,10.661993,24.841853,0.915465,12.687537,76.89,30.52,38.25,280;
12500,20.683762,46.359665,1.216315,34.382893,149.60,52.41,99.93,202;
12500,21.567101,45.735692,1.344407,33.901939,150.29,52.27,69.83,290;
12500,10.389921,24.464932,0.904128,12.462832,75.46,29.97,37.88,278;
12500,21.802907,46.542431,1.370492,34.315299,152.93,53.15,71.29,289;
12500,22.198035,46.885370,1.315973,35.137329,154.75,53.18,71.91,289;
12500,10.850835,24.596975,0.944896,13.139827,76.29,30.51,37.88,281;
12500,10.290610,23.514461,0.904531,12.280133,73.07,28.92,36.86,276;
12500,10.654690,46.681139,0.917532,34.922446,127.25,45.36,60.01,287;
12500,21.718110,46.183048,1.375894,34.332804,151.26,53.18,70.86,288;
12500,21.741565,47.817394,1.377147,35.176147,156.10,53.57,72.30,290;
12500,10.269257,23.963354,0.915910,12.633085,74.48,28.63,36.67,281;
12500,21.775340,46.495428,1.295677,34.422485,152.04,53.39,71.25,288;
12500,10.449871,23.853995,0.910168,12.396529,74.53,28.81,36.86,280;
12500,10.452171,24.253060,0.905160,12.505888,75.17,29.68,37.48,279;
12500,10.890544,24.684883,0.944026,12.993357,77.16,30.42,38.49,279;
12500,10.268668,24.999689,0.917544,12.596303,76.35,30.50,38.09,280;
12500,10.419917,26.271229,0.906317,12.928316,79.08,32.20,39.52,281;
