Nvert,init,tarjan,split,merge,user,elapsed,system,pCPU
12500,9.887093,29.279532,0.619929,12.138418,76.85,1.68,41.35,189;
12500,20.720522,44.404681,0.927124,34.784070,128.66,1.78,67.60,192;
12500,20.341132,52.234159,0.926865,34.763790,143.25,2.12,74.77,194;
12500,9.612180,29.685645,0.610062,12.248517,77.11,1.67,41.75,188;
12500,9.813071,29.432698,0.623465,12.236606,76.86,1.82,41.43,189;
12500,10.027523,30.156271,0.624795,12.848988,78.69,1.87,42.64,188;
12500,10.426991,22.517290,0.672146,12.632907,64.28,1.78,35.50,186;
12500,20.471495,52.297229,0.937049,34.473216,143.61,2.16,75.22,193;
12500,9.996292,22.919132,0.630981,13.403447,64.31,1.69,35.08,188;
12500,9.850559,29.769498,0.636900,12.148559,77.53,1.92,42.08,188;
12500,9.858788,29.364909,0.612027,12.183250,76.87,1.82,41.45,189;
12500,20.722964,44.528695,0.903217,34.772706,128.86,1.83,67.71,193;
12500,10.112980,30.642418,0.623842,13.290783,79.88,1.82,42.94,190;
12500,20.147615,44.082904,0.968207,34.198772,126.65,1.99,66.68,192;
12500,20.796282,44.014345,0.967886,34.294831,127.78,2.04,67.00,193;
12500,20.759998,44.002239,0.947468,34.260228,127.85,1.88,67.26,192;
12500,9.919006,29.448909,0.622768,12.332430,77.12,1.81,41.55,189;
12500,20.384172,44.190449,0.986836,34.258260,127.35,1.99,67.04,192;
12500,9.928212,29.506595,0.628370,12.336248,77.31,1.75,41.61,189;
12500,9.920656,29.622806,0.632054,12.172690,77.44,1.84,42.01,188;
12500,20.804671,44.622823,0.898324,34.870664,129.09,1.96,67.62,193;
12500,10.062954,29.888072,0.621010,12.241886,78.18,1.91,42.40,188;
12500,10.141019,29.714378,0.624714,12.565495,78.03,1.87,42.03,190;
12500,9.907218,29.640983,0.630313,12.248463,77.57,1.72,42.00,188;
12500,9.866652,29.346017,0.622968,12.207668,76.74,1.88,41.39,189;
