Nvert,init,tarjan,split,merge,user,elapsed,system,pCPU
250000,0.158234,7.029925,0.123933,0.000244,14.21,0.25,7.50,192;
250000,0.156319,7.017994,0.122186,0.000240,14.12,0.30,7.47,192;
250000,0.195687,4.654875,0.123853,0.000231,9.60,0.18,6.97,140;
250000,0.237702,4.626750,0.155938,0.000285,9.64,0.17,5.17,189;
250000,0.228596,4.624058,0.156248,0.000285,9.58,0.21,5.18,189;
250000,0.226803,4.574830,0.157500,0.000282,9.45,0.22,5.14,187;
250000,0.230862,4.646059,0.153557,0.000278,9.61,0.22,7.00,140;
250000,0.232928,4.615131,0.155033,0.000282,9.59,0.19,5.15,189;
250000,0.228828,4.547525,0.157428,0.000279,9.41,0.23,5.09,189;
250000,0.230260,7.026304,0.158649,0.000296,14.40,0.19,7.60,191;
250000,0.155897,7.123771,0.125108,0.000234,14.47,0.18,9.41,155;
250000,0.234928,4.551669,0.155445,0.000280,9.43,0.23,5.11,188;
250000,0.159191,4.609032,0.118803,0.000239,9.42,0.18,5.11,187;
250000,0.226845,4.533470,0.154013,0.000282,9.39,0.21,8.61,111;
250000,0.225859,4.572580,0.155963,0.000283,9.50,0.17,5.09,189;
250000,0.156214,7.071697,0.124335,0.000243,14.28,0.25,7.53,193;
250000,0.153075,4.675678,0.123197,0.000229,9.56,0.18,8.93,108;
250000,0.154339,7.070133,0.123654,0.000245,14.26,0.24,7.53,192;
250000,0.226186,4.588083,0.154998,0.000289,9.49,0.23,5.13,189;
250000,0.153255,7.072011,0.122026,0.000235,14.32,0.22,11.22,129;
250000,0.224472,4.545760,0.154480,0.000287,9.45,0.18,5.07,189;
250000,0.153280,6.998251,0.122416,0.000240,14.11,0.25,7.46,192;
250000,0.226255,4.625381,0.154602,0.000284,9.58,0.20,6.97,140;
250000,0.228635,4.598504,0.155067,0.000277,9.51,0.22,5.13,189;
250000,0.153910,7.038581,0.122548,0.000239,14.23,0.23,7.51,192;
