Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
12500,9.757685,24.965347,0.848710,12.011467,52.99,16.66,37.34,186;
12500,10.190118,26.177282,0.913478,12.423808,54.30,18.67,39.12,186;
12500,20.310236,44.558131,1.331249,34.175921,102.79,27.16,67.36,192;
12500,10.202977,25.593842,0.912582,12.322851,53.22,18.61,38.49,186;
12500,19.375358,26.014768,0.911223,12.412788,68.89,22.11,47.71,190;
12500,9.878467,25.249937,0.850342,12.437567,54.11,16.38,37.91,185;
12500,9.782498,25.351293,0.849690,12.669574,53.96,16.53,37.44,188;
12500,20.539271,44.414119,1.286879,33.911797,102.28,27.89,67.58,192;
12500,10.397443,25.650395,0.908981,12.430506,53.83,18.52,38.29,188;
12500,20.354228,43.523176,1.255506,33.070704,100.56,27.37,66.79,191;
12500,20.933429,43.908595,1.190833,33.765468,102.18,27.69,67.16,193;
12500,10.204144,25.674417,0.908837,12.456128,53.19,18.79,38.05,189;
12500,20.505723,44.277090,1.390866,33.924485,102.19,27.67,67.17,193;
12500,9.866147,24.943318,0.854881,12.294211,53.04,16.83,37.47,186;
12500,20.413523,44.660554,1.535273,34.148318,102.62,27.74,67.17,194;
12500,9.757920,24.792692,0.853250,12.030826,52.54,16.76,37.06,186;
12500,20.467153,44.606781,1.213109,33.911450,102.87,27.57,67.62,192;
12500,20.820135,45.394663,1.174852,34.343683,104.77,27.92,69.20,191;
12500,20.168257,44.062792,1.219526,33.506072,101.30,27.39,66.54,193;
12500,9.621503,25.255259,0.843033,11.954048,52.97,17.01,35.62,196;
12500,9.730670,25.374472,0.856350,12.070786,53.74,16.67,37.27,188;
12500,10.049358,26.246285,0.907952,12.279433,53.82,18.98,39.11,186;
12500,20.319711,44.980847,1.210323,33.908894,103.35,27.55,69.83,187;
12500,9.947180,25.193336,0.847435,12.167956,53.48,17.06,37.98,185;
12500,9.699292,25.054761,0.857274,12.030778,53.25,16.45,37.06,188;
