Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
1000000,0.083882,2.283191,0.123453,0.000000,5.31,1.96,3.29,220;
1000000,0.116236,2.187419,0.157267,0.000000,5.13,2.11,5.65,128;
1000000,0.117985,2.341773,0.169918,0.000000,5.52,2.04,3.19,237;
1000000,0.118031,2.517770,0.165333,0.000000,5.98,2.12,3.71,218;
1000000,0.119043,2.160709,0.164903,0.000000,5.01,2.13,3.28,217;
1000000,0.082299,2.438383,0.122605,0.000000,5.65,2.11,5.14,151;
1000000,0.083548,2.583656,0.124426,0.000000,5.98,2.24,3.50,235;
1000000,0.084183,2.480163,0.126047,0.000000,5.71,2.16,3.50,224;
1000000,0.119419,2.184843,0.172237,0.000000,5.18,2.03,3.29,219;
1000000,0.087763,2.252500,0.125240,0.000000,5.16,2.06,5.14,140;
1000000,0.084452,2.332068,0.122833,0.000000,5.36,2.07,3.49,212;
1000000,0.083788,2.535643,0.123066,0.000000,5.97,2.07,3.70,217;
1000000,0.083494,2.454185,0.127841,0.000000,5.67,2.12,3.50,222;
1000000,0.083492,2.873815,0.128282,0.000000,5.82,2.21,5.75,139;
1000000,0.115578,2.285980,0.164515,0.000000,5.34,2.19,3.49,215;
1000000,0.084778,2.556133,0.126393,0.000000,5.85,2.25,3.72,217;
1000000,0.120360,2.366428,0.166234,0.000000,5.48,2.16,3.48,219;
1000000,0.085469,2.451418,0.124260,0.000000,5.50,2.31,4.52,172;
1000000,0.118820,2.267656,0.164506,0.000000,5.34,2.13,3.52,212;
1000000,0.100305,2.352857,0.122140,0.000000,5.34,2.21,3.40,221;
1000000,0.119795,2.487661,0.163800,0.000000,5.91,2.22,3.71,219;
1000000,0.119422,2.268256,0.160817,0.000000,5.35,2.13,4.91,152;
1000000,0.083461,2.466200,0.122905,0.000000,5.72,2.11,3.47,225;
1000000,0.083082,2.362668,0.123464,0.000000,5.38,2.15,3.53,213;
1000000,0.117276,2.172930,0.163875,0.000000,5.07,2.10,3.26,219;
