Nvert,NvertAfterCuda,init,mpi_tarjan,split,merge,total_only_mpi,preprocess,conversion,finalize,user,system,elapsed,pCPU
500000,236518,0.150054,1.852511,0.156820,0.000363,1.852643,14.914615,0.128951,0.000406,39.38,12.42,19.66,263;
500000,236518,0.062655,1.268169,0.122400,0.000343,1.268287,12.334506,0.097372,0.000427,31.60,10.44,16.60,253;
500000,236518,0.061992,2.085070,0.120879,0.000351,2.085200,12.396678,0.096808,0.000418,33.70,10.84,15.78,282;
500000,236518,0.065906,1.281864,0.128261,0.000363,1.282002,12.317146,0.132265,0.000379,31.99,9.77,16.40,254;
500000,236518,0.063734,1.372785,0.124104,0.000360,1.372917,12.400660,0.093959,0.000348,32.50,9.66,14.97,281;
500000,236518,0.112466,1.755684,0.157349,0.000369,1.755827,12.429025,0.130442,0.000455,33.55,10.36,17.24,254;
500000,236518,0.101413,1.173575,0.152836,0.000367,1.173761,12.438419,0.128031,0.000516,32.29,10.04,15.04,281;
500000,236518,0.109856,1.885322,0.156367,0.000354,1.885463,12.199471,0.171072,0.000523,33.11,10.79,16.91,259;
500000,236518,0.053808,1.369147,0.120104,0.000346,1.369262,12.382953,0.093432,0.000324,31.79,10.18,14.97,280;
500000,236518,0.065682,1.557299,0.121259,0.000310,1.557461,12.146120,0.152979,0.000428,83.19,38.60,48.04,253;
500000,236518,0.060789,1.261974,0.120195,0.000345,1.262106,12.400819,0.098185,0.000382,31.87,10.04,16.34,256;
500000,236518,0.107582,1.778468,0.151268,0.000356,1.778596,12.384153,0.129156,0.000514,33.23,10.67,15.64,280;
500000,236518,0.068786,1.779045,0.120793,0.000316,1.779178,12.347374,0.096634,0.000476,33.10,10.51,16.81,259;
500000,236518,0.064593,1.324419,0.119756,0.000344,1.324554,12.451929,0.093485,0.000370,31.98,10.17,17.52,240;
500000,236518,0.116883,1.276307,0.157736,0.000373,1.276450,12.367249,0.130850,0.000485,33.57,10.47,15.89,277;
500000,236518,0.073882,1.378626,0.123082,0.000358,1.378756,12.391258,0.097976,0.000370,32.50,9.97,16.50,257;
500000,236518,0.113039,1.191187,0.157539,0.000363,1.191330,12.094230,0.172509,0.000416,163.55,70.46,78.85,296;
500000,236518,0.055228,3.697305,0.123252,0.000320,3.697430,12.400943,0.092212,0.000423,37.42,12.19,18.90,262;
500000,236518,0.105858,1.267434,0.152274,0.000360,1.267568,12.347326,0.125526,0.000480,31.97,9.97,17.08,245;
500000,236518,0.107502,1.784727,0.154290,0.000386,1.784870,12.409987,0.128000,0.000523,33.35,10.80,15.58,283;
500000,236518,0.068332,1.881629,0.119531,0.000325,1.881749,12.362888,0.094589,0.000473,33.06,10.88,17.11,256;
500000,236518,0.055506,1.748935,0.145918,0.000354,1.749053,12.130888,0.156450,0.000399,32.73,10.35,46.94,91;
500000,236518,0.110885,1.884326,0.152912,0.000361,1.884461,12.410531,0.127763,0.000510,33.68,10.80,17.19,258;
500000,236518,0.101257,1.171170,0.155745,0.000365,1.171312,12.446773,0.127777,0.000496,32.39,9.49,14.86,281;
500000,236518,0.102726,1.261623,0.152710,0.000388,1.261758,12.362585,0.127455,0.000460,31.96,9.96,16.19,258;
