Nvert,NvertAfterCuda,init,mpi_tarjan,split,merge,total_only_mpi,preprocess,conversion,finalize,user,system,elapsed,pCPU
500000,236518,0.097498,1.783657,0.153647,0.000365,1.783775,12.312543,0.174142,0.000551,28.56,0.28,14.72,195;
500000,236518,0.053485,2.841877,0.161636,0.000344,2.841984,12.298735,0.163055,0.000539,30.51,0.30,17.49,176;
500000,236518,0.049221,1.785804,0.126148,0.000299,1.785933,12.295217,0.151477,0.000430,28.43,0.22,14.64,195;
500000,236518,0.099916,1.799631,0.154767,0.000372,1.799762,12.292365,0.178956,0.000447,28.59,0.25,16.51,174;
500000,236518,0.097887,1.810379,0.154915,0.000370,1.810509,12.290910,0.171182,0.000558,28.54,0.30,14.71,196;
500000,236518,0.061544,2.375027,0.134025,0.000350,2.375133,12.301684,0.153130,0.000326,29.58,0.30,17.02,175;
500000,236518,0.048285,2.365294,0.131559,0.000342,2.365399,12.302961,0.154484,0.000403,29.59,0.24,15.23,195;
500000,236518,0.056045,2.369447,0.133384,0.000350,2.369558,12.301270,0.152580,0.000328,29.58,0.26,16.71,178;
500000,236518,0.047510,2.378032,0.133561,0.000339,2.378141,12.310453,0.154974,0.000415,29.57,0.30,15.23,196;
500000,236518,0.088944,1.855421,0.130365,0.000323,1.855549,12.275813,0.152161,0.000522,28.62,0.24,14.70,196;
500000,236518,0.073133,2.380274,0.131331,0.000355,2.380382,12.282221,0.147840,0.000419,29.53,0.34,18.25,163;
500000,236518,0.047045,2.367077,0.133126,0.000343,2.367185,12.284727,0.148917,0.000452,29.54,0.24,15.20,195;
500000,236518,0.098867,1.813133,0.153860,0.000372,1.813261,12.328759,0.166061,0.000499,28.59,0.32,16.54,174;
500000,236518,0.048007,1.772760,0.126018,0.000303,1.772893,12.300901,0.152665,0.000449,28.38,0.24,14.61,195;
500000,236518,0.100957,1.805245,0.152863,0.000371,1.805374,12.333249,0.167579,0.000571,28.64,0.27,16.54,174;
500000,236518,0.051594,2.374553,0.132369,0.000316,2.374658,12.275885,0.152120,0.000448,29.62,0.21,15.22,195;
500000,236518,0.101754,1.796290,0.152441,0.000365,1.796421,12.315122,0.170502,0.000566,28.63,0.26,16.53,174;
500000,236518,0.095542,1.795016,0.153007,0.000374,1.795140,12.268858,0.165602,0.000546,28.54,0.21,14.67,196;
500000,236518,0.062023,2.376087,0.135130,0.000322,2.376195,12.288660,0.150823,0.000425,29.59,0.27,17.02,175;
500000,236518,0.050801,1.817757,0.127294,0.000316,1.817886,12.276276,0.148737,0.000426,28.46,0.23,14.64,195;
500000,236518,0.063029,2.373058,0.134434,0.000353,2.373175,12.342172,0.151523,0.000417,29.64,0.33,17.07,175;
500000,236518,0.093414,1.785969,0.125712,0.000314,1.786101,12.274022,0.151087,0.000435,28.46,0.24,14.67,195;
500000,236518,0.053536,1.777785,0.125266,0.000304,1.777919,12.319236,0.150161,0.000435,28.45,0.24,16.44,174;
500000,236518,0.048175,1.805602,0.128189,0.000317,1.805736,12.291474,0.153410,0.000504,28.46,0.23,14.61,196;
500000,236518,0.064030,2.354956,0.133519,0.000301,2.355068,12.299986,0.167167,0.000374,29.58,0.29,17.01,175;
