Nvert,NvertAfterCuda,init,mpi_tarjan,split,merge,total_only_mpi,preprocess,conversion,finalize,user,system,elapsed,pCPU
819200,401408,0.075195,2.741999,0.109587,0.080060,2.747340,26.908675,0.113612,0.004453,59.54,0.30,32.10,186;
819200,401408,0.074495,2.724692,0.110998,0.079526,2.730341,26.113841,0.116102,0.004278,57.89,0.27,31.45,184;
819200,401408,0.082015,1.967359,0.111288,0.083146,1.973016,26.097605,0.115449,0.004818,56.35,0.28,30.39,186;
819200,401408,0.065686,2.122457,0.118074,0.086715,2.128245,25.699392,0.117863,0.005084,55.85,0.28,29.89,187;
819200,401408,0.110961,1.978412,0.140716,0.103812,1.984609,26.656305,0.161371,0.005649,57.59,0.29,29.24,197;
819200,401408,0.076496,2.067386,0.112408,0.086917,2.073200,26.100392,0.120049,0.005122,56.55,0.29,30.52,186;
819200,401408,0.088463,2.057578,0.119672,0.085534,2.063171,26.050577,0.123064,0.004654,56.44,0.31,30.74,184;
819200,401408,0.120997,1.977650,0.139824,0.103659,1.983898,25.931611,0.164901,0.006011,56.25,0.27,30.34,186;
819200,401408,0.078222,2.728552,0.112886,0.078888,2.734060,25.950242,0.114416,0.004694,57.56,0.30,31.28,184;
819200,401408,0.121576,2.014759,0.143425,0.104243,2.020961,26.243757,0.208289,0.005620,56.99,0.31,30.73,186;
819200,401408,0.129946,2.912112,0.152871,0.122391,2.918383,26.416717,0.215229,0.005898,59.06,0.41,32.08,185;
819200,401408,0.127908,1.948405,0.140325,0.102868,1.954596,26.128015,0.165710,0.005685,56.58,0.28,30.51,186;
819200,401408,0.119851,1.955508,0.136080,0.103054,1.961969,26.254423,0.163556,0.005955,56.80,0.30,30.91,184;
819200,401408,0.071264,2.015941,0.111447,0.084527,2.021576,26.213558,0.121710,0.005037,56.68,0.27,30.28,188;
819200,401408,0.068473,2.043839,0.111520,0.086243,2.049053,26.135179,0.117431,0.005093,56.56,0.28,30.80,184;
819200,401408,0.121892,2.000868,0.138982,0.104247,2.007195,26.888646,0.219465,0.005761,58.34,0.24,31.37,186;
819200,401408,0.084021,2.781762,0.119286,0.095605,2.787285,26.273035,0.188619,0.004508,58.44,0.32,31.74,185;
819200,401408,0.132521,1.983692,0.138922,0.104501,1.989994,26.106423,0.213161,0.006026,56.67,0.33,30.60,186;
819200,401408,0.076667,2.008707,0.111578,0.097490,2.014338,26.768205,0.190754,0.004635,57.92,0.27,31.18,186;
819200,401408,0.615011,2.761519,0.119538,0.098309,2.766988,26.451293,0.187131,0.004484,59.92,0.54,32.64,185;
819200,401408,0.070456,2.093025,0.114657,0.096918,2.098750,26.070394,0.185018,0.004595,56.64,0.32,30.58,186;
819200,401408,0.067794,1.981480,0.112911,0.094617,1.987100,26.890214,0.184911,0.004846,58.12,0.23,31.52,185;
819200,401408,0.076006,1.948141,0.111454,0.097657,1.953777,26.117227,0.184957,0.004599,56.50,0.26,30.47,186;
819200,401408,0.125994,1.971927,0.138017,0.106275,1.978232,26.030368,0.216908,0.006014,56.54,0.31,30.54,186;
819200,401408,0.072169,1.976567,0.113194,0.097391,1.982029,26.263186,0.189140,0.004760,56.80,0.29,30.63,186;
