verteces,init,finalize,preprocess,conversion,tarjan,user,system,elapsed,pCPU
118498,0.046063,0.000288,2.375434,0.054173,0.050851,2.47,0.06,2.56,99;
118498,0.048749,0.000245,2.371340,0.053556,0.051010,2.48,0.05,2.56,98;
118498,0.051478,0.000273,2.367902,0.054512,0.047448,2.48,0.05,2.55,99;
118498,0.045185,0.000275,2.381327,0.053518,0.050232,2.49,0.05,2.57,98;
118498,0.050962,0.000258,2.374480,0.053708,0.049772,2.48,0.05,2.57,98;
118498,0.048972,0.000280,2.374297,0.054049,0.051462,2.50,0.04,2.56,99;
118498,0.046968,0.000265,2.374706,0.053737,0.049432,2.49,0.04,2.55,99;
118498,0.045771,0.000271,2.399037,0.053524,0.050147,2.49,0.06,2.58,99;
118498,0.048236,0.000278,2.373388,0.053900,0.051147,2.49,0.04,2.56,99;
118498,0.046752,0.000271,2.369183,0.054060,0.048461,2.48,0.05,2.56,99;
118498,0.045579,0.000283,2.369681,0.054056,0.051674,2.48,0.04,2.55,99;
118498,0.050024,0.000268,2.379724,0.052937,0.049138,2.49,0.05,2.56,99;
118498,0.051767,0.000264,2.379008,0.054158,0.048927,2.48,0.06,2.56,99;
118498,0.047440,0.000287,2.366857,0.054393,0.052425,2.48,0.05,2.56,99;
118498,0.046547,0.000256,2.396244,0.053592,0.049854,2.50,0.05,2.58,99;
118498,0.051709,0.000277,2.376227,0.053889,0.051347,2.48,0.06,2.56,99;
118498,0.046435,0.000261,2.376570,0.053980,0.050704,2.48,0.05,2.56,99;
118498,0.049750,0.000262,2.392665,0.054265,0.048943,2.50,0.05,2.58,99;
118498,0.050050,0.000301,2.375431,0.053900,0.051088,2.46,0.07,2.56,99;
118498,0.053796,0.000274,2.354680,0.063305,0.057339,2.45,0.08,2.56,99;
118498,0.049014,0.000277,2.348104,0.053819,0.047896,2.46,0.04,2.53,99;
118498,0.045735,0.000252,2.361015,0.053760,0.051228,2.46,0.06,2.54,99;
118498,0.050008,0.000279,2.384503,0.054736,0.049644,2.48,0.07,2.57,99;
118498,0.046889,0.000334,2.372855,0.054004,0.050531,2.47,0.06,2.55,99;
118498,0.049681,0.000269,2.386427,0.053857,0.050058,2.49,0.05,2.58,98;
