verteces,init,finalize,preprocess,conversion,tarjan,user,system,elapsed,pCPU
118498,0.044335,0.000292,1.706240,0.047898,0.043755,1.80,0.05,1.88,98;
118498,0.045347,0.000266,1.709509,0.048207,0.046782,1.80,0.06,1.88,98;
118498,0.044637,0.000303,1.703579,0.047626,0.045477,1.80,0.05,1.89,98;
118498,0.044444,0.000279,1.698291,0.047718,0.045138,1.81,0.04,1.86,98;
118498,0.042599,0.000289,1.701069,0.048249,0.046916,1.80,0.04,1.88,98;
118498,0.044133,0.000282,1.705315,0.048427,0.044692,1.80,0.04,1.87,98;
118498,0.046403,0.000290,1.714114,0.049164,0.047743,1.81,0.05,1.90,98;
118498,0.044135,0.000269,1.706197,0.043255,0.042230,1.78,0.06,1.87,98;
118498,0.041878,0.000242,1.703855,0.050272,0.047087,1.79,0.06,1.87,98;
118498,0.043747,0.000271,1.684899,0.048798,0.049461,1.79,0.04,1.87,98;
118498,0.044193,0.000264,1.704045,0.049227,0.047553,1.80,0.05,1.88,98;
118498,0.048772,0.000289,1.704441,0.048343,0.045693,1.81,0.05,1.88,98;
118498,0.043865,0.000291,1.701961,0.049169,0.047417,1.80,0.04,1.87,98;
118498,0.044815,0.000399,1.693746,0.047087,0.045285,1.77,0.06,1.87,98;
118498,0.043581,0.000291,1.701228,0.049158,0.047185,1.80,0.05,1.88,98;
118498,0.044704,0.000286,1.693262,0.047278,0.044468,1.79,0.04,1.86,98;
118498,0.043646,0.000275,1.704357,0.048092,0.045937,1.80,0.04,1.87,99;
118498,0.045731,0.000273,1.706136,0.048200,0.046484,1.81,0.04,1.88,98;
118498,0.047165,0.000277,1.704958,0.049487,0.045191,1.80,0.05,1.88,98;
118498,0.051027,0.000282,1.701334,0.047810,0.044823,1.79,0.05,1.88,98;
118498,0.042827,0.000286,1.696899,0.048169,0.046020,1.80,0.04,1.88,98;
118498,0.044107,0.000295,1.697304,0.049041,0.047316,1.79,0.06,1.87,98;
118498,0.044235,0.000284,1.712199,0.048627,0.045438,1.81,0.04,1.88,98;
118498,0.048120,0.000272,1.709445,0.048991,0.047397,1.81,0.05,1.89,98;
118498,0.044295,0.000291,1.703545,0.048181,0.044851,1.81,0.04,1.87,98;
