verteces,verteces_after,init,destroy,tarjan,preprocess_time,user,system,elapsed,pCPU
51200,25088,0.002058,0.000179,0.006772,1.615089,1.62,0.00,1.62,99;
51200,25088,0.002000,0.000156,0.006545,1.617556,1.62,0.00,1.62,99;
51200,25088,0.002065,0.000189,0.006530,1.624933,1.63,0.00,1.63,99;
51200,25088,0.002116,0.000161,0.006334,1.593134,1.60,0.00,1.60,100;
51200,25088,0.002047,0.000178,0.006163,1.600264,1.60,0.00,1.60,100;
51200,25088,0.002048,0.000178,0.006800,1.615265,1.62,0.00,1.62,99;
51200,25088,0.002125,0.000152,0.006092,1.587486,1.59,0.00,1.59,100;
51200,25088,0.002114,0.000163,0.006185,1.599985,1.60,0.00,1.60,100;
51200,25088,0.002233,0.000170,0.006508,1.600334,1.60,0.00,1.61,99;
51200,25088,0.002079,0.000162,0.006283,1.607535,1.61,0.00,1.61,100;
51200,25088,0.002059,0.000154,0.006612,1.611052,1.61,0.00,1.62,100;
51200,25088,0.002068,0.000166,0.006790,1.605812,1.61,0.00,1.61,100;
51200,25088,0.002110,0.000174,0.006500,1.596613,1.60,0.00,1.60,99;
51200,25088,0.002075,0.000206,0.006611,1.611758,1.62,0.00,1.62,100;
51200,25088,0.002061,0.000209,0.006478,1.601106,1.60,0.00,1.61,100;
51200,25088,0.002309,0.000169,0.006325,1.601514,1.61,0.00,1.61,99;
51200,25088,0.002046,0.000167,0.006465,1.602138,1.60,0.00,1.61,99;
51200,25088,0.002075,0.000188,0.007405,1.607962,1.61,0.00,1.61,100;
51200,25088,0.002060,0.000154,0.006327,1.597295,1.60,0.00,1.60,99;
51200,25088,0.002118,0.000166,0.006702,1.607498,1.61,0.00,1.61,99;
51200,25088,0.002042,0.000163,0.006335,1.600859,1.60,0.00,1.61,99;
51200,25088,0.002062,0.000189,0.006333,1.608794,1.61,0.00,1.61,99;
51200,25088,0.002099,0.000176,0.006511,1.597829,1.60,0.00,1.60,100;
51200,25088,0.002055,0.000159,0.006220,1.598811,1.60,0.00,1.60,99;
51200,25088,0.002083,0.000164,0.006545,1.602022,1.60,0.00,1.61,99;
