Nvert,init,tarjan,split,merge,user,elapsed,system,pCPU
51200,0.011805,0.133810,0.008324,0.004810,0.32,0.03,0.42,85;
51200,0.017091,0.101648,0.008868,0.006378,0.24,0.05,0.40,75;
51200,0.017098,0.095596,0.008832,0.006604,0.24,0.04,0.39,74;
51200,0.017427,0.096996,0.008923,0.006490,0.24,0.06,0.39,75;
51200,0.012642,0.133496,0.008244,0.004814,0.31,0.04,0.42,84;
51200,0.017239,0.097242,0.009116,0.006392,0.23,0.07,0.40,74;
51200,0.017070,0.097217,0.009038,0.006430,0.25,0.04,0.40,73;
51200,0.017514,0.098034,0.009295,0.006592,0.24,0.05,0.39,76;
51200,0.011777,0.132034,0.007709,0.004821,0.30,0.05,0.42,84;
51200,0.017264,0.098211,0.008871,0.006588,0.25,0.04,0.39,75;
51200,0.017120,0.096973,0.008996,0.006573,0.25,0.04,0.40,72;
51200,0.012015,0.133292,0.007950,0.004958,0.30,0.05,0.42,84;
51200,0.011650,0.132808,0.008082,0.004827,0.31,0.04,0.42,83;
51200,0.017240,0.097700,0.009103,0.006428,0.24,0.05,0.39,75;
51200,0.017137,0.098016,0.009200,0.006488,0.25,0.05,0.40,73;
51200,0.011670,0.132787,0.007662,0.005362,0.31,0.04,0.43,83;
51200,0.017016,0.097984,0.009267,0.006472,0.26,0.03,0.39,76;
51200,0.011887,0.133949,0.008188,0.004810,0.30,0.05,0.42,84;
51200,0.016787,0.097801,0.009191,0.006373,0.26,0.03,0.40,74;
51200,0.011970,0.134170,0.008919,0.004913,0.32,0.03,0.43,83;
51200,0.016976,0.097376,0.008899,0.006571,0.26,0.03,0.39,75;
51200,0.011581,0.133998,0.008068,0.004829,0.30,0.05,0.43,82;
51200,0.017058,0.097924,0.009204,0.006565,0.25,0.05,3.30,9;
51200,0.017371,0.096860,0.008835,0.006516,0.24,0.05,1.02,29;
51200,0.016989,0.098082,0.009023,0.006548,0.27,0.02,0.40,75;
