Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
1000000,0.083131,3.193755,0.128494,0.000000,4.88,1.80,5.56,120;
1000000,0.117581,2.953794,0.167273,0.000000,4.49,1.78,3.80,164;
1000000,0.120438,19.290441,0.168493,0.000000,34.11,19.82,35.34,152;
1000000,0.082714,3.095479,0.126861,0.000000,4.71,1.77,5.44,119;
1000000,0.118849,2.767933,0.167107,0.000000,4.18,1.71,3.80,154;
1000000,0.082865,3.276283,0.127275,0.000000,5.01,1.83,4.11,166;
1000000,0.082616,3.393044,0.129904,0.000000,5.32,1.75,4.21,167;
1000000,0.084914,3.215587,0.126941,0.000000,4.75,1.97,5.65,119;
1000000,0.081516,3.083601,0.123612,0.000000,4.84,1.61,3.91,165;
1000000,0.119489,3.357892,0.169615,0.000000,5.03,2.05,4.21,168;
1000000,0.119859,2.849782,0.161524,0.000000,4.24,1.81,3.91,154;
1000000,0.081555,3.274330,0.124189,0.000000,4.96,1.86,5.54,123;
1000000,0.117210,2.896272,0.171891,0.000000,4.50,1.63,3.91,156;
1000000,0.119280,3.057572,0.170959,0.000000,4.70,1.78,4.01,161;
1000000,0.082302,2.996499,0.127617,0.000000,4.55,1.72,3.80,164;
1000000,0.083416,3.000248,0.129923,0.000000,4.63,1.66,5.65,111;
1000000,0.117563,2.710339,0.170763,0.000000,4.16,1.61,3.60,160;
1000000,0.081885,3.221256,0.126565,0.000000,4.85,1.87,4.21,159;
1000000,0.120225,2.953853,0.163478,0.000000,4.43,1.84,3.80,164;
1000000,0.083233,3.086848,0.126495,0.000000,4.77,1.70,5.54,116;
1000000,0.119042,2.855955,0.165923,0.000000,4.23,1.84,3.91,155;
1000000,0.117607,2.881097,0.164983,0.000000,5.14,2.27,5.24,141;
1000000,0.082958,3.094019,0.127287,0.000000,4.71,1.77,3.90,165;
1000000,0.083011,3.021155,0.132723,0.000000,4.55,1.76,5.13,123;
1000000,0.083642,3.294046,0.125326,0.000000,5.01,1.87,4.21,163;
