Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
500000,0.581447,8.937292,0.363026,0.000427,14.74,4.44,10.23,187;
500000,0.387617,10.956296,0.277433,0.000393,17.82,5.00,13.92,163;
500000,0.387097,11.257443,0.279899,0.000387,18.05,5.35,12.48,187;
500000,0.572590,9.380181,0.362656,0.000418,15.35,4.68,12.07,165;
500000,0.585673,11.274291,0.373525,0.000471,18.59,5.27,12.69,187;
500000,0.383612,11.268152,0.274986,0.000386,18.18,5.26,14.12,165;
500000,0.387427,11.466726,0.281325,0.000390,18.27,5.54,12.69,187;
500000,0.566488,9.385145,0.365528,0.000425,15.43,4.62,12.28,163;
500000,0.386955,11.213568,0.281968,0.000370,17.64,5.68,12.28,189;
500000,0.386620,9.352573,0.278549,0.000396,14.79,4.81,11.87,165;
500000,0.387826,11.660430,0.276388,0.000423,18.57,5.63,12.90,187;
500000,0.392989,9.160302,0.281661,0.000371,14.98,4.24,11.71,164;
500000,0.391900,11.451551,0.276963,0.000395,18.19,5.59,12.85,185;
500000,0.580221,9.581789,0.362499,0.000422,15.41,5.05,12.48,163;
500000,0.575480,9.785652,0.365373,0.000425,15.78,5.07,11.05,188;
500000,0.587109,10.000096,0.367608,0.000423,16.12,5.17,12.90,165;
500000,0.391701,11.250112,0.278319,0.000389,18.11,5.29,12.28,190;
500000,0.382183,11.260307,0.274828,0.000393,17.83,5.59,14.12,165;
500000,0.590052,9.381922,0.366139,0.000422,15.37,4.68,10.64,188;
500000,0.389494,11.271066,0.277778,0.000386,18.00,5.44,14.20,165;
500000,0.391960,11.153103,0.278893,0.000384,18.00,5.20,12.41,187;
500000,0.387587,11.268703,0.279254,0.000390,18.02,5.39,14.16,165;
500000,0.577142,9.586892,0.365724,0.000429,15.61,4.85,10.80,189;
500000,0.573195,9.800761,0.362429,0.000433,15.93,4.95,12.69,164;
500000,0.578085,9.582829,0.365878,0.000431,15.34,5.11,10.85,188;
