Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
500000,0.394696,14.668978,0.291404,0.000400,29.81,0.39,15.37,196;
500000,0.394293,13.450245,0.293771,0.000379,27.36,0.43,15.99,173;
500000,0.574323,13.300220,0.378253,0.000438,27.46,0.39,14.19,196;
500000,0.393626,20.421502,0.289562,0.000380,41.24,0.50,22.96,181;
500000,0.394660,13.183218,0.291241,0.000392,26.80,0.44,16.00,170;
500000,0.392104,20.519916,0.289170,0.000384,41.44,0.48,21.23,197;
500000,0.389280,20.726994,0.290114,0.000392,41.81,0.52,23.26,181;
500000,0.386085,13.258005,0.287328,0.000430,26.97,0.41,16.06,170;
500000,0.409088,15.220173,0.293135,0.000376,30.89,0.45,15.94,196;
500000,0.399840,20.845643,0.293374,0.000389,42.06,0.51,23.09,184;
500000,0.390686,13.278488,0.292226,0.000385,26.97,0.45,15.50,176;
500000,0.582281,13.225603,0.378614,0.000429,27.32,0.41,14.14,196;
500000,0.391345,13.110556,0.292670,0.000377,26.64,0.45,16.43,164;
500000,0.395237,20.657044,0.288947,0.000412,41.65,0.54,21.37,197;
500000,0.605138,13.341215,0.375155,0.000435,27.54,0.46,16.08,174;
500000,0.388109,14.616949,0.291888,0.000374,29.68,0.41,15.31,196;
500000,0.578197,13.252813,0.369881,0.000424,27.34,0.42,15.97,173;
500000,0.585558,13.146886,0.374722,0.000430,27.21,0.37,14.07,196;
500000,0.387118,13.420860,0.290643,0.000372,27.29,0.41,15.63,177;
500000,0.582264,13.121106,0.377185,0.000427,27.11,0.40,14.05,195;
500000,0.391927,20.603453,0.292252,0.000403,41.53,0.55,23.33,180;
500000,0.389700,20.800772,0.290411,0.000403,42.01,0.46,23.34,181;
500000,0.572371,13.122808,0.377400,0.000430,27.03,0.46,16.12,170;
500000,0.579520,13.078874,0.372738,0.000424,27.01,0.39,13.97,196;
500000,0.580548,13.305923,0.371070,0.000425,27.43,0.44,16.03,173;
