verteces,verteces_after,init,destroy,tarjan,preprocess_time,user,system,elapsed,pCPU
51200,25088,0.002048,0.000151,0.006080,1.603313,1.61,0.00,1.61,100;
51200,25088,0.002080,0.000177,0.006271,1.588448,1.59,0.00,1.59,100;
51200,25088,0.002115,0.000155,0.006413,1.593705,1.60,0.00,1.61,99;
51200,25088,0.002084,0.000172,0.006357,1.604415,1.60,0.00,1.61,99;
51200,25088,0.002086,0.000210,0.006291,1.583009,1.58,0.00,1.59,100;
51200,25088,0.002097,0.000154,0.006240,1.595094,1.60,0.00,1.60,100;
51200,25088,0.002098,0.000173,0.006459,1.594340,1.59,0.00,1.60,99;
51200,25088,0.002116,0.000195,0.006340,1.608498,1.61,0.00,1.61,100;
51200,25088,0.002050,0.000210,0.006651,1.620315,1.62,0.00,1.63,99;
51200,25088,0.002061,0.000162,0.006793,1.621969,1.63,0.00,1.63,99;
51200,25088,0.002071,0.000207,0.006747,1.615349,1.62,0.00,1.62,99;
51200,25088,0.002142,0.000155,0.006103,1.590477,1.59,0.00,1.59,99;
51200,25088,0.002029,0.000166,0.006611,1.621174,1.63,0.00,1.63,100;
51200,25088,0.002010,0.000197,0.006754,1.624086,1.63,0.00,1.63,100;
51200,25088,0.002093,0.000165,0.006161,1.596086,1.60,0.00,1.60,100;
51200,25088,0.002066,0.000155,0.006850,1.616004,1.62,0.00,1.62,100;
51200,25088,0.002057,0.000219,0.006822,1.617004,1.62,0.00,1.62,100;
51200,25088,0.002085,0.000165,0.006311,1.586391,1.59,0.00,1.59,100;
51200,25088,0.002083,0.000150,0.006117,1.599545,1.60,0.00,1.60,100;
51200,25088,0.002035,0.000217,0.006851,1.619396,1.62,0.00,1.62,100;
51200,25088,0.002038,0.000184,0.006934,1.625641,1.63,0.00,1.63,100;
51200,25088,0.002121,0.000159,0.006358,1.597397,1.60,0.00,1.60,100;
51200,25088,0.002042,0.000166,0.007094,1.624152,1.63,0.00,1.63,99;
51200,25088,0.002119,0.000182,0.006204,1.590508,1.59,0.00,1.59,99;
51200,25088,0.002127,0.000165,0.006525,1.594790,1.60,0.00,1.60,100;
