verteces,verteces_after,init,destroy,tarjan,preprocess_time,user,system,elapsed,pCPU
500000,236518,0.020219,0.000170,0.092453,128.935400,129.01,0.03,129.05,99;
500000,236518,0.020139,0.000179,0.092478,128.979434,129.07,0.01,129.09,99;
500000,236518,0.020244,0.000178,0.092419,129.005946,129.04,0.07,129.12,99;
500000,236518,0.020137,0.000191,0.092659,128.288058,128.37,0.02,128.40,99;
500000,236518,0.020105,0.000179,0.092746,128.698212,128.77,0.03,128.81,99;
500000,236518,0.021517,0.000202,0.092526,128.399489,128.48,0.03,128.52,99;
500000,236518,0.020195,0.000187,0.093137,128.321210,128.41,0.01,128.44,99;
500000,236518,0.020132,0.000213,0.093769,128.552735,128.63,0.03,128.67,99;
500000,236518,0.020225,0.000177,0.092039,129.382353,129.39,0.09,129.50,99;
500000,236518,0.019813,0.000271,0.092484,127.253623,127.35,0.01,127.39,99;
500000,236518,0.020182,0.000180,0.093095,128.632221,128.69,0.05,128.75,99;
500000,236518,0.020155,0.000172,0.093636,128.478122,128.49,0.09,128.59,99;
500000,236518,0.019876,0.000190,0.091928,126.853049,126.94,0.02,126.99,99;
500000,236518,0.020098,0.000201,0.093188,128.775616,128.87,0.02,128.89,99;
500000,236518,0.020101,0.000178,0.092012,128.699302,128.72,0.09,128.81,99;
500000,236518,0.020182,0.000175,0.092257,128.239423,128.33,0.01,128.35,99;
500000,236518,0.020150,0.000179,0.092691,129.576206,129.62,0.06,129.69,99;
500000,236518,0.019775,0.000180,0.090863,127.361505,127.45,0.01,127.47,99;
500000,236518,0.020130,0.000222,0.092229,128.701477,128.78,0.03,128.82,99;
500000,236518,0.020108,0.000176,0.092925,129.025590,129.06,0.07,129.14,99;
500000,236518,0.019739,0.000175,0.093417,126.524837,126.62,0.01,126.64,99;
500000,236518,0.020208,0.000209,0.091627,128.495941,128.57,0.03,128.61,99;
500000,236518,0.020127,0.000209,0.092286,128.502739,128.59,0.02,128.62,99;
500000,236518,0.019761,0.000196,0.091612,126.793639,126.88,0.02,126.91,99;
500000,236518,0.020182,0.000194,0.093058,129.117447,129.19,0.03,129.23,99;
