verteces,verteces_after,init,destroy,tarjan,preprocess_time,user,system,elapsed,pCPU
250000,118498,0.009766,0.000135,0.041424,32.823540,32.86,0.01,32.88,99;
250000,118498,0.010023,0.000133,0.040212,32.254323,32.29,0.00,32.30,99;
250000,118498,0.010357,0.000127,0.040765,32.323193,32.36,0.00,32.37,99;
250000,118498,0.010034,0.000135,0.041933,32.548708,32.59,0.01,32.60,99;
250000,118498,0.009941,0.000133,0.041383,32.403482,32.43,0.01,32.45,99;
250000,118498,0.009909,0.000128,0.040906,32.305126,32.34,0.01,32.35,99;
250000,118498,0.009896,0.000147,0.041570,33.006085,33.04,0.01,33.06,99;
250000,118498,0.009993,0.000136,0.040165,32.311305,32.35,0.01,32.36,99;
250000,118498,0.009858,0.000135,0.041772,32.750886,32.79,0.01,32.80,99;
250000,118498,0.010106,0.000130,0.040429,32.230364,32.26,0.01,32.28,99;
250000,118498,0.009914,0.000128,0.040344,32.429472,32.47,0.00,32.48,99;
250000,118498,0.010051,0.000137,0.041245,32.511047,32.54,0.01,32.56,99;
250000,118498,0.009937,0.000132,0.040777,32.264463,32.30,0.01,32.31,100;
250000,118498,0.009927,0.000158,0.040992,32.499342,32.52,0.02,32.55,99;
250000,118498,0.009995,0.000137,0.040720,32.416697,32.45,0.01,32.47,99;
250000,118498,0.010081,0.000148,0.041304,32.716793,32.77,0.00,32.77,99;
250000,118498,0.009768,0.000142,0.041197,32.462239,32.50,0.00,32.53,99;
250000,118498,0.009721,0.000177,0.040480,31.950495,31.98,0.01,32.01,99;
250000,118498,0.009713,0.000133,0.040616,32.081628,32.11,0.01,32.16,99;
250000,118498,0.009748,0.000135,0.039625,31.898846,31.94,0.00,31.95,99;
250000,118498,0.010032,0.000135,0.041063,32.251306,32.30,0.00,32.30,99;
250000,118498,0.009875,0.000137,0.040369,32.265617,32.30,0.01,32.31,99;
250000,118498,0.009957,0.000131,0.040753,32.304733,32.34,0.01,32.35,99;
250000,118498,0.009822,0.000134,0.040544,32.822053,32.86,0.01,32.87,99;
250000,118498,0.009688,0.000136,0.040923,32.403105,32.45,0.00,32.46,99;
