verteces,init,finalize,preprocess,conversion,tarjan,user,system,elapsed,pCPU
71094,0.037637,0.000222,0.866071,0.025391,0.035712,0.94,0.03,0.99,98;
71094,0.037643,0.000207,0.865513,0.025784,0.036435,0.93,0.03,1.00,97;
71094,0.043024,0.000201,0.868698,0.026262,0.036597,0.93,0.05,1.00,97;
71094,0.037067,0.000242,0.861725,0.028410,0.040600,0.92,0.05,1.01,97;
71094,0.037420,0.000210,0.863305,0.026855,0.037627,0.93,0.05,1.00,98;
71094,0.037508,0.000245,0.867127,0.025381,0.035767,0.93,0.04,1.00,97;
71094,0.037883,0.000205,0.864207,0.025882,0.036101,0.93,0.04,0.99,97;
71094,0.038692,0.000209,0.865312,0.026037,0.036924,0.92,0.05,0.99,97;
71094,0.040849,0.000218,0.865463,0.026128,0.037263,0.93,0.05,1.00,98;
71094,0.037445,0.000208,0.866307,0.025608,0.035738,0.93,0.04,1.00,97;
71094,0.037778,0.000221,0.868664,0.026264,0.036675,0.93,0.04,1.00,97;
71094,0.040720,0.000208,0.864781,0.025480,0.035489,0.93,0.04,1.00,97;
71094,0.037820,0.000204,0.864274,0.025638,0.036621,0.93,0.04,1.00,97;
71094,0.037249,0.000215,0.863544,0.026049,0.036615,0.94,0.03,0.99,98;
71094,0.036941,0.000223,0.867868,0.028382,0.039798,0.95,0.03,1.00,98;
71094,0.039150,0.000218,0.867189,0.025695,0.036384,0.92,0.05,1.00,97;
71094,0.037679,0.000212,0.864380,0.026109,0.036969,0.92,0.05,1.00,97;
71094,0.038809,0.000210,0.867085,0.025274,0.036011,0.93,0.04,1.01,97;
71094,0.037704,0.000220,0.865036,0.025538,0.035850,0.94,0.03,0.99,97;
71094,0.036663,0.000226,0.867978,0.028664,0.039839,0.94,0.04,1.00,98;
71094,0.037686,0.000242,0.868176,0.026986,0.037083,0.94,0.03,1.00,97;
71094,0.038001,0.000202,0.864306,0.025419,0.035703,0.92,0.05,0.99,97;
71094,0.037995,0.000204,0.863340,0.025734,0.036539,0.92,0.05,0.99,98;
71094,0.038276,0.000212,0.864622,0.025914,0.036423,0.93,0.04,0.99,97;
71094,0.043194,0.000212,0.866400,0.028477,0.039781,0.94,0.04,1.01,97;
