verteces,init,finalize,preprocess,conversion,tarjan,user,system,elapsed,pCPU
236518,0.062252,0.000419,6.694352,0.154110,0.123427,6.97,0.07,7.07,99;
236518,0.066141,0.000395,6.724727,0.150411,0.122017,7.00,0.07,7.10,99;
236518,0.061071,0.000408,6.730186,0.156713,0.124676,7.01,0.08,7.10,99;
236518,0.062833,0.000389,6.717289,0.151684,0.127329,6.99,0.08,7.09,99;
236518,0.061430,0.000403,6.711167,0.149584,0.123664,6.99,0.06,7.08,99;
236518,0.062219,0.000408,6.701865,0.153158,0.128926,6.96,0.09,7.08,99;
236518,0.061977,0.000440,6.689251,0.147993,0.123884,6.97,0.06,7.08,99;
236518,0.066214,0.000365,6.699667,0.148473,0.125162,6.97,0.07,7.08,99;
236518,0.061924,0.000408,6.698943,0.151511,0.123945,6.98,0.06,7.07,99;
236518,0.061884,0.000380,6.701559,0.148035,0.124628,6.99,0.06,7.07,99;
236518,0.061972,0.000398,6.700494,0.151803,0.123892,6.98,0.06,7.07,99;
236518,0.061048,0.000451,6.764957,0.154639,0.122734,7.04,0.07,7.14,99;
236518,0.065184,0.000416,6.716228,0.149830,0.122593,6.99,0.07,7.09,99;
236518,0.060282,0.000397,6.707798,0.150214,0.121401,6.97,0.08,7.07,99;
236518,0.061173,0.000420,6.705699,0.146509,0.121486,6.97,0.07,7.07,99;
236518,0.060819,0.000412,6.689709,0.151791,0.122084,6.97,0.06,7.06,99;
236518,0.060490,0.000389,6.727831,0.151385,0.124333,7.01,0.06,7.09,99;
236518,0.063600,0.000410,6.694388,0.149879,0.123762,6.98,0.06,7.06,99;
236518,0.060462,0.000375,6.710067,0.151247,0.125837,7.00,0.06,7.08,99;
236518,0.062779,0.000406,6.702713,0.151084,0.121558,6.97,0.08,7.07,99;
236518,0.062392,0.000414,6.711209,0.149361,0.122227,6.99,0.06,7.08,99;
236518,0.060425,0.000406,6.714391,0.153041,0.123481,6.99,0.07,7.08,99;
236518,0.062380,0.000412,6.704077,0.152257,0.123617,6.96,0.09,7.07,99;
236518,0.060281,0.000388,6.709366,0.150837,0.123057,6.99,0.06,7.09,99;
236518,0.062732,0.000399,6.709322,0.151925,0.123403,6.98,0.08,7.08,99;
