Nvert,init,tarjan,split,merge,user,system,elapsed,pCPU
409600,0.094308,1.815290,0.108141,0.038667,3.68,0.23,2.22,176;
409600,0.135009,1.282592,0.128276,0.051037,2.76,0.16,1.72,169;
409600,0.094753,1.821110,0.107208,0.039615,3.68,0.24,2.26,173;
409600,0.094817,1.258651,0.102996,0.040035,2.61,0.17,3.48,80;
409600,0.132443,1.294485,0.129533,0.051897,2.73,0.20,1.73,169;
409600,0.094506,1.805576,0.100973,0.038542,3.64,0.24,2.20,176;
409600,0.130918,1.291472,0.129376,0.050570,2.70,0.22,1.72,169;
409600,0.134426,1.287505,0.127505,0.051149,2.72,0.22,1.73,169;
409600,0.136750,1.844373,0.137787,0.051610,3.77,0.28,2.38,170;
409600,0.094561,1.847803,0.113288,0.039805,3.72,0.25,2.25,176;
409600,0.094764,1.825369,0.110887,0.039859,3.69,0.23,2.22,176;
409600,0.127007,1.270887,0.101425,0.039801,2.75,0.13,1.74,164;
409600,0.100698,1.811863,0.109824,0.038780,3.69,0.23,4.04,97;
409600,0.138341,1.307359,0.129608,0.051049,2.71,0.26,1.74,170;
409600,0.094252,1.825357,0.110223,0.038860,3.64,0.28,2.23,176;
409600,0.095043,1.810673,0.107355,0.038731,3.65,0.25,2.21,176;
409600,0.096315,1.834194,0.111402,0.039502,3.66,0.28,2.25,175;
409600,0.095252,1.835754,0.108814,0.038679,3.72,0.22,2.24,176;
409600,0.138320,1.295769,0.128202,0.051340,2.72,0.22,1.73,170;
409600,0.136436,1.303541,0.128285,0.051488,2.77,0.19,1.75,169;
409600,0.095008,1.824439,0.107993,0.038562,3.71,0.22,2.27,172;
409600,0.094577,1.830940,0.109202,0.038908,3.66,0.29,4.05,97;
409600,0.136563,1.296509,0.129756,0.051358,2.74,0.21,1.73,170;
409600,0.137359,1.299106,0.125615,0.051131,2.72,0.23,1.74,169;
409600,0.138006,1.286324,0.127366,0.051436,2.72,0.21,1.72,170;
