Nvert,init,tarjan,split,merge,user,elapsed,system,pCPU
409600,0.138965,1.193298,0.132309,0.058456,3.12,1.14,2.24,189;
409600,0.095339,1.159774,0.102261,0.044762,2.79,1.15,1.93,203;
409600,0.096308,1.307293,0.100112,0.043572,3.35,1.04,2.14,204;
409600,0.094415,1.278860,0.102306,0.043492,3.09,1.22,2.24,191;
409600,0.100657,1.150240,0.103578,0.046895,2.78,1.16,3.17,124;
409600,0.098170,1.264557,0.100510,0.044902,3.12,1.16,3.41,125;
409600,0.096573,1.132290,0.101712,0.043321,2.91,0.96,1.90,203;
409600,0.096972,1.300151,0.103286,0.043157,3.17,1.20,2.14,204;
409600,0.138544,1.241180,0.131813,0.059297,3.11,1.28,2.14,205;
409600,0.095217,1.289033,0.102784,0.043238,3.13,1.20,2.04,212;
409600,0.095297,1.202673,0.101411,0.042867,2.95,1.12,2.15,189;
409600,0.138967,1.224079,0.131644,0.058437,3.11,1.22,2.24,193;
409600,0.095876,1.344081,0.133938,0.058166,3.31,1.19,2.65,169;
409600,0.157561,1.408997,0.136731,0.069751,3.70,1.43,3.88,132;
409600,0.097293,1.270935,0.099143,0.043743,3.17,1.26,2.28,194;
409600,0.094980,1.179286,0.101379,0.042455,2.84,1.17,2.00,200;
409600,0.094720,1.398137,0.100013,0.043278,3.44,1.22,2.24,207;
409600,0.138000,1.185512,0.130464,0.058503,3.04,1.17,2.01,209;
409600,0.139634,1.287392,0.133044,0.059292,3.19,1.34,2.28,199;
409600,0.139586,1.224330,0.131862,0.057744,3.13,1.22,2.25,193;
409600,0.095139,1.385275,0.101082,0.043629,3.30,1.33,3.67,126;
409600,0.098714,1.214089,0.101847,0.046351,3.03,1.10,3.27,126;
409600,0.095020,1.327652,0.100235,0.043152,3.32,1.31,2.24,206;
409600,0.140146,1.195412,0.131584,0.058793,3.19,1.22,2.24,196;
409600,0.093812,1.412794,0.100932,0.043817,3.50,1.21,2.24,209;
