verteces,verteces_after,init,destroy,tarjan,preprocess_time,user,system,elapsed,pCPU
12500,12500,2.198212,0.018337,3.038741,9.485587,13.74,1.06,14.81,99;
12500,12500,2.240676,0.018138,2.916186,9.612054,13.82,1.02,14.85,99;
12500,12500,2.240178,0.018195,2.973222,9.560673,13.72,1.13,14.85,99;
12500,12500,2.243295,0.017595,2.762130,9.300393,13.35,1.03,14.38,99;
12500,12500,2.240935,0.017577,2.782299,9.297020,13.30,1.09,14.40,99;
12500,12500,2.240376,0.018362,2.844014,9.279762,13.50,0.94,14.44,99;
12500,12500,2.197957,0.017486,3.114501,9.609521,13.99,1.01,15.01,99;
12500,12500,2.239744,0.018436,3.080089,9.782286,14.15,1.02,15.18,99;
12500,12500,2.243199,0.017813,2.960219,9.600980,13.86,1.02,14.88,99;
12500,12500,2.235477,0.018199,2.805223,9.273337,13.40,0.99,14.39,99;
12500,12500,2.234184,0.017484,2.799980,9.282572,13.33,1.05,14.40,99;
12500,12500,2.236007,0.018329,3.069781,9.699325,14.05,1.03,15.09,99;
12500,12500,2.238470,0.017563,3.085540,9.815365,14.12,1.09,15.22,99;
12500,12500,2.233741,0.018330,3.091894,9.609884,13.96,1.05,15.03,99;
12500,12500,2.200198,0.018671,2.864168,9.377467,13.51,1.00,14.52,99;
12500,12500,2.201494,0.018249,2.845081,9.297865,13.44,0.98,14.42,100;
12500,12500,2.238719,0.018247,2.736125,9.306746,13.42,0.93,14.36,99;
12500,12500,2.240916,0.017596,2.829619,9.232735,13.31,1.06,14.38,99;
12500,12500,2.241916,0.018162,2.769659,9.308346,13.26,1.14,14.40,99;
12500,12500,2.243957,0.018400,2.836557,9.257432,13.48,0.93,14.42,99;
12500,12500,2.239652,0.017200,2.786666,9.303572,13.40,1.00,14.41,99;
12500,12500,2.242436,0.017588,2.796725,9.326012,13.57,0.87,14.44,99;
12500,12500,2.216157,0.017592,3.106967,9.627135,13.95,1.08,15.04,99;
12500,12500,2.339168,0.018301,3.079028,9.797183,14.19,1.09,15.30,99;
12500,12500,2.240088,0.018464,2.790604,9.301536,13.38,1.03,14.41,99;
